s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0102450E+000, 1.0934638E-001
 2.0009400E+000, 7.3172209E-002
 3.0051635E+000, 7.2930005E-002
 4.0015962E+000, 1.0366508E-001
 5.0023837E+000, 1.1369863E-001
 6.0022424E+000, 1.3069470E-001
 7.0081705E+000, 7.0304175E-002
 8.0057648E+000, 5.0984252E-002
 9.0102323E+000, 2.5000000E-002
 1.0007760E+001, 2.5000000E-002
 1.1000178E+001, 2.5000000E-002
 1.2001599E+001, 2.5000000E-002
 1.3009399E+001, 2.5000000E-002
 1.4007600E+001, 2.5000000E-002
 1.5000043E+001, 3.8829787E-002
 1.6007402E+001, 7.5000000E-002
 1.7001036E+001, 7.7384132E-002
 1.8004128E+001, 1.1275460E-001
 1.9000014E+001, 8.5666667E-002
 2.0003080E+001, 7.5000000E-002
 2.1005023E+001, 7.9552081E-002
 2.2001178E+001, 1.4439600E-001
 2.3008045E+001, 3.8017604E-001
 2.4003478E+001, 5.6184571E-001
 2.5000707E+001, 2.3571429E-001
 2.6003590E+001, 3.4011879E-001
 2.7005292E+001, 2.4463349E-001
 2.8002736E+001, 5.2260667E-001
 2.9006474E+001, 5.8777077E-001
 3.0001481E+001, 8.6140135E-001
 3.1005421E+001, 8.2624511E-001
 3.2002313E+001, 1.0654356E+000
 3.3004229E+001, 1.5233193E+000
 3.4000884E+001, 1.4869685E+000
 3.5000245E+001, 1.3177664E+000
 3.6000787E+001, 1.8128745E+000
 3.7003625E+001, 1.5628911E+000
 3.8002247E+001, 1.7640062E+000
 3.9002880E+001, 1.3362472E+000
 4.0001303E+001, 1.3253432E+000
 4.1000605E+001, 1.5125594E+000
 4.2001151E+001, 1.5994054E+000
 4.3001893E+001, 1.4560863E+000
 4.4003105E+001, 1.7556112E+000
 4.5004472E+001, 1.9590103E+000
 4.6000197E+001, 2.4723368E+000
 4.7000160E+001, 2.4983270E+000
 4.8003988E+001, 2.6507048E+000
 4.9004383E+001, 2.5080958E+000
 5.0004444E+001, 2.7445326E+000
 5.1002223E+001, 2.8343726E+000
 5.2003037E+001, 2.9048449E+000
 5.3000325E+001, 3.0568741E+000
 5.4002207E+001, 3.2102450E+000
 5.5003235E+001, 3.2913767E+000
 5.6004891E+001, 3.5047122E+000
 5.7004714E+001, 3.5421835E+000
 5.8003336E+001, 3.6446005E+000
 5.9001346E+001, 3.7890636E+000
 6.0000048E+001, 3.8793503E+000
 6.1001535E+001, 4.0032643E+000
 6.2003379E+001, 4.0510198E+000
 6.3002483E+001, 4.1923007E+000
 6.4004171E+001, 4.4134095E+000
 6.5000659E+001, 4.4941263E+000
 6.6000173E+001, 4.6017844E+000
 6.7002747E+001, 4.7353674E+000
 6.8005228E+001, 4.8992015E+000
 6.9002080E+001, 4.9395480E+000
 7.0002093E+001, 5.0130069E+000
 7.1004317E+001, 5.1003102E+000
 7.2001527E+001, 5.3142072E+000
 7.3001550E+001, 5.4038440E+000
 7.4002796E+001, 5.4838516E+000
 7.5003627E+001, 5.5403556E+000
 7.6001691E+001, 5.6502559E+000
 7.7002709E+001, 5.7516614E+000
 7.8000898E+001, 5.8816804E+000
 7.9004152E+001, 6.0049549E+000
 8.0000210E+001, 6.0976127E+000
 8.1002700E+001, 6.1292689E+000
 8.2004347E+001, 6.4304765E+000
 8.3001479E+001, 6.3887486E+000
 8.4002324E+001, 6.5013514E+000
 8.5000903E+001, 6.5585826E+000
 8.6001148E+001, 6.6490625E+000
 8.7003811E+001, 6.7811088E+000
 8.8005103E+001, 6.9695298E+000
 8.9004272E+001, 7.0197997E+000
 9.0005498E+001, 7.0547524E+000
 9.1000501E+001, 7.2055876E+000
 9.2000431E+001, 7.3637158E+000
 9.3001902E+001, 7.4671126E+000
 9.4004926E+001, 7.5331413E+000
 9.5006014E+001, 7.6597222E+000
 9.6003744E+001, 7.7828869E+000
 9.7003468E+001, 7.8888367E+000
 9.8000187E+001, 7.9612729E+000
 9.9001669E+001, 7.9442077E+000
