s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0143570E+000, 1.2569257E-001
 2.0005003E+000, 6.8096538E-002
 3.0047522E+000, 1.1407726E-001
 4.0079006E+000, 1.6056701E-001
 5.0038097E+000, 1.9618380E-001
 6.0094401E+000, 1.7805430E-001
 7.0039150E+000, 1.6026748E-001
 8.0027057E+000, 2.5000000E-002
 9.0061362E+000, 2.9681194E-002
 1.0000699E+001, 2.5000000E-002
 1.1010205E+001, 2.5000000E-002
 1.2004964E+001, 2.5000000E-002
 1.3007198E+001, 2.5000000E-002
 1.4003835E+001, 6.6340850E-002
 1.5006905E+001, 7.5000000E-002
 1.6005302E+001, 8.0851578E-002
 1.7004197E+001, 1.2500000E-001
 1.8007225E+001, 1.2500000E-001
 1.9007101E+001, 1.5077065E-001
 2.0004552E+001, 1.7500000E-001
 2.1004276E+001, 1.9113166E-001
 2.2004775E+001, 2.2500000E-001
 2.3007701E+001, 2.2500000E-001
 2.4001466E+001, 2.5943159E-001
 2.5003000E+001, 2.7500000E-001
 2.6004681E+001, 3.0291111E-001
 2.7006683E+001, 3.2500000E-001
 2.8001496E+001, 3.4826538E-001
 2.9003268E+001, 3.7500000E-001
 3.0004710E+001, 3.9232335E-001
 3.1004086E+001, 4.2500000E-001
 3.2004732E+001, 4.4480411E-001
 3.3004831E+001, 4.7500000E-001
 3.4003690E+001, 5.0654706E-001
 3.5004743E+001, 5.2977563E-001
 3.6005516E+001, 5.6671992E-001
 3.7002566E+001, 5.8198695E-001
 3.8002357E+001, 6.2500000E-001
 3.9002337E+001, 6.5360143E-001
 4.0002923E+001, 6.7759845E-001
 4.1002636E+001, 7.2500000E-001
 4.2001428E+001, 7.5797376E-001
 4.3000896E+001, 7.7500000E-001
 4.4005368E+001, 8.2747889E-001
 4.5001612E+001, 8.5355707E-001
 4.6005136E+001, 1.0027367E+000
 4.7001067E+001, 9.2731352E-001
 4.8000122E+001, 9.8167802E-001
 4.9002939E+001, 1.0296646E+000
 5.0001269E+001, 1.0464304E+000
 5.1004602E+001, 1.0858916E+000
 5.2000135E+001, 1.2185621E+000
 5.3002709E+001, 1.2239186E+000
 5.4000366E+001, 1.3265339E+000
 5.5003202E+001, 1.4047803E+000
 5.6003662E+001, 1.4621696E+000
 5.7003148E+001, 1.5675107E+000
 5.8001261E+001, 1.6766176E+000
 5.9003788E+001, 2.0437875E+000
 6.0003711E+001, 2.0829546E+000
 6.1004525E+001, 2.2139831E+000
 6.2002033E+001, 2.1971134E+000
 6.3002222E+001, 2.3454980E+000
 6.4003456E+001, 2.3930721E+000
 6.5000338E+001, 2.4715797E+000
 6.6002670E+001, 2.5631493E+000
 6.7000633E+001, 2.5125612E+000
 6.8002338E+001, 2.5846489E+000
 6.9000046E+001, 2.6611286E+000
 7.0002019E+001, 2.7555498E+000
 7.1003684E+001, 2.7987335E+000
 7.2003686E+001, 2.8831193E+000
 7.3000861E+001, 2.9462585E+000
 7.4004334E+001, 2.9961250E+000
 7.5002968E+001, 3.0657404E+000
 7.6000121E+001, 3.1279791E+000
 7.7004128E+001, 3.1462025E+000
 7.8004559E+001, 3.2239928E+000
 7.9005362E+001, 3.2834958E+000
 8.0000675E+001, 3.3435251E+000
 8.1002806E+001, 3.3987484E+000
 8.2004926E+001, 3.4528372E+000
 8.3002602E+001, 3.5132246E+000
 8.4001790E+001, 3.5612910E+000
 8.5002888E+001, 3.6313430E+000
 8.6000026E+001, 3.6620449E+000
 8.7004025E+001, 3.7733349E+000
 8.8003428E+001, 3.7908555E+000
 8.9003772E+001, 3.8541074E+000
 9.0000151E+001, 3.8838292E+000
 9.1002422E+001, 3.9951660E+000
 9.2001136E+001, 4.0392225E+000
