s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0120840E+000, 9.4549068E-002
 2.0013142E+000, 8.1043649E-002
 3.0027841E+000, 8.4113739E-002
 4.0023069E+000, 3.1071429E-002
 5.0018297E+000, 3.1785714E-002
 6.0013526E+000, 2.5000000E-002
 7.0018749E+000, 2.5000000E-002
 8.0015491E+000, 2.5000000E-002
 9.0050244E+000, 2.5000000E-002
 1.0008500E+001, 2.5000000E-002
 1.1000684E+001, 2.5000000E-002
 1.2007549E+001, 2.5000000E-002
 1.3006362E+001, 4.5523703E-002
 1.4000983E+001, 7.5000000E-002
 1.5004661E+001, 7.5000000E-002
 1.6000223E+001, 1.1800360E-001
 1.7006398E+001, 1.2500000E-001
 1.8000310E+001, 1.2785651E-001
 1.9001066E+001, 1.7500000E-001
 2.0005289E+001, 1.7500000E-001
 2.1000403E+001, 1.8225611E-001
 2.2006737E+001, 2.2500000E-001
 2.3000076E+001, 2.2500000E-001
 2.4005487E+001, 2.4224615E-001
 2.5003687E+001, 2.9068718E-001
 2.6004924E+001, 3.0366896E-001
 2.7003251E+001, 3.2792236E-001
 2.8002471E+001, 3.3049876E-001
 2.9003386E+001, 3.8256824E-001
 3.0003304E+001, 3.9413439E-001
 3.1003207E+001, 5.0358424E-001
 3.2002872E+001, 4.9077155E-001
 3.3003188E+001, 5.8402779E-001
 3.4003503E+001, 5.7634403E-001
 3.5004983E+001, 5.4662992E-001
 3.6001371E+001, 5.9394404E-001
 3.7001835E+001, 9.3516001E-001
 3.8004824E+001, 8.4278426E-001
 3.9000586E+001, 6.3525674E-001
 4.0004743E+001, 9.9485698E-001
 4.1001735E+001, 8.3960283E-001
 4.2000032E+001, 7.3346392E-001
 4.3002295E+001, 9.5492147E-001
 4.4001067E+001, 8.7129559E-001
 4.5000151E+001, 1.3143311E+000
 4.6000487E+001, 1.1773831E+000
 4.7001521E+001, 1.3136813E+000
 4.8001263E+001, 1.3694570E+000
 4.9003788E+001, 1.2487337E+000
 5.0002742E+001, 1.4477747E+000
 5.1003145E+001, 1.5153566E+000
 5.2000033E+001, 1.9018460E+000
 5.3004420E+001, 1.9989206E+000
 5.4000345E+001, 2.1455647E+000
 5.5002520E+001, 2.3934297E+000
 5.6003355E+001, 2.5978715E+000
 5.7002650E+001, 2.3890472E+000
 5.8002033E+001, 2.7440800E+000
 5.9003861E+001, 2.7423222E+000
 6.0004581E+001, 2.7507090E+000
 6.1002893E+001, 2.8056137E+000
 6.2001438E+001, 2.9457389E+000
 6.3003375E+001, 3.0278646E+000
 6.4000015E+001, 3.1149458E+000
 6.5000788E+001, 3.2065310E+000
 6.6003577E+001, 3.3602152E+000
 6.7000317E+001, 3.4183834E+000
 6.8000789E+001, 3.5167538E+000
 6.9001563E+001, 3.5992981E+000
 7.0001324E+001, 3.6642120E+000
 7.1002019E+001, 3.8850319E+000
 7.2004391E+001, 3.9591606E+000
 7.3000715E+001, 4.0244102E+000
 7.4002236E+001, 4.1363886E+000
 7.5001020E+001, 4.1815568E+000
 7.6003979E+001, 4.3775603E+000
 7.7003504E+001, 4.4327311E+000
 7.8000368E+001, 4.6748608E+000
 7.9001011E+001, 4.6987272E+000
 8.0002715E+001, 4.7408069E+000
 8.1002710E+001, 4.9150516E+000
 8.2003143E+001, 4.8713479E+000
 8.3001151E+001, 5.0007897E+000
 8.4001049E+001, 5.1090474E+000
 8.5002103E+001, 5.1853467E+000
 8.6002068E+001, 5.2316832E+000
 8.7000717E+001, 5.3204434E+000
 8.8005081E+001, 5.4243559E+000
 8.9000978E+001, 5.5067388E+000
 9.0004077E+001, 5.5570363E+000
 9.1004284E+001, 5.6680538E+000
 9.2004229E+001, 5.7723094E+000
 9.3003559E+001, 5.9180625E+000
 9.4002529E+001, 5.9555236E+000
 9.5002389E+001, 6.0640374E+000
 9.6002634E+001, 6.1693118E+000
 9.7000917E+001, 6.2545657E+000
 9.8003159E+001, 6.2671818E+000
 9.9004262E+001, 6.3575795E+000
 1.0000475E+002, 6.4318589E+000
 1.0100085E+002, 6.5194396E+000
 1.0200386E+002, 6.5644227E+000
 1.0300010E+002, 6.6355474E+000
 1.0400137E+002, 6.7348794E+000
 1.0500261E+002, 6.8271493E+000
 1.0600038E+002, 6.8955451E+000
 1.0700075E+002, 6.9934278E+000
 1.0800090E+002, 7.0618959E+000
 1.0900547E+002, 7.2469397E+000
 1.1000217E+002, 7.2413756E+000
 1.1100012E+002, 7.3787650E+000
 1.1200183E+002, 7.3488190E+000
 1.1300544E+002, 7.4597443E+000
 1.1400156E+002, 7.5159088E+000
 1.1500666E+002, 7.5864529E+000
 1.1600622E+002, 7.7388116E+000
 1.1700648E+002, 7.8273119E+000
 1.1800580E+002, 7.8768457E+000
 1.1900563E+002, 7.9597048E+000
 1.2000231E+002, 7.9750000E+000
 1.2100808E+002, 7.9078991E+000
 1.2200101E+002, 7.8381695E+000
