s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0045547E+000, 1.2618722E-001
 2.0085745E+000, 6.7780895E-002
 3.0015953E+000, 1.2283229E-001
 4.0079740E+000, 1.2061404E-001
 5.0016994E+000, 7.5488599E-002
 6.0081566E+000, 8.5023585E-002
 7.0114166E+000, 1.3105624E-001
 8.0022888E+000, 2.5000000E-002
 9.0086734E+000, 3.4930054E-002
 1.0005148E+001, 2.5000000E-002
 1.1000467E+001, 2.5000000E-002
 1.2007507E+001, 2.5000000E-002
 1.3006315E+001, 3.8284117E-002
 1.4005049E+001, 7.5000000E-002
 1.5003249E+001, 7.5000000E-002
 1.6005098E+001, 1.1939366E-001
 1.7002497E+001, 1.2500000E-001
 1.8000722E+001, 1.3575359E-001
 1.9003132E+001, 1.7500000E-001
 2.0005361E+001, 1.7500000E-001
 2.1005325E+001, 2.2500000E-001
 2.2006207E+001, 2.2500000E-001
 2.3004040E+001, 2.6097232E-001
 2.4001716E+001, 2.7327889E-001
 2.5003566E+001, 3.0431314E-001
 2.6000199E+001, 3.2243545E-001
 2.7003649E+001, 3.5404076E-001
 2.8003164E+001, 3.7021726E-001
 2.9001301E+001, 3.9746432E-001
 3.0005043E+001, 4.0548299E-001
 3.1003045E+001, 4.4114821E-001
 3.2003960E+001, 4.7500000E-001
 3.3002881E+001, 6.3252540E-001
 3.4005887E+001, 6.2457167E-001
 3.5001494E+001, 5.7816956E-001
 3.6002385E+001, 8.0036728E-001
 3.7004255E+001, 6.9174752E-001
 3.8002925E+001, 8.1590003E-001
 3.9002697E+001, 1.0153089E+000
 4.0001668E+001, 9.0081689E-001
 4.1002826E+001, 9.7013910E-001
 4.2001981E+001, 1.0495882E+000
 4.3001557E+001, 9.5257388E-001
 4.4000882E+001, 9.1810180E-001
 4.5002617E+001, 1.2616454E+000
 4.6003014E+001, 1.1926405E+000
 4.7003914E+001, 1.4173393E+000
 4.8003305E+001, 1.3568482E+000
 4.9001063E+001, 1.3055583E+000
 5.0001957E+001, 1.4408927E+000
 5.1004083E+001, 1.5350201E+000
 5.2000429E+001, 1.7717040E+000
 5.3003563E+001, 2.1491081E+000
 5.4001116E+001, 2.4247912E+000
 5.5001682E+001, 2.5085506E+000
 5.6002386E+001, 2.6929331E+000
 5.7001306E+001, 2.7241322E+000
 5.8003209E+001, 2.9778293E+000
 5.9004271E+001, 3.0429282E+000
 6.0004301E+001, 2.9603524E+000
 6.1001665E+001, 3.0345425E+000
 6.2004391E+001, 3.0935708E+000
 6.3000606E+001, 3.1506520E+000
 6.4002543E+001, 3.2656066E+000
 6.5004035E+001, 3.2801641E+000
 6.6002921E+001, 3.3443857E+000
 6.7001112E+001, 3.4202761E+000
 6.8003180E+001, 3.4619737E+000
 6.9004933E+001, 3.7244835E+000
 7.0000183E+001, 3.6501825E+000
 7.1003940E+001, 3.7313924E+000
 7.2001870E+001, 3.9096406E+000
 7.3003906E+001, 4.0416635E+000
 7.4000092E+001, 4.1772895E+000
 7.5001106E+001, 4.0426956E+000
 7.6000565E+001, 4.1362809E+000
 7.7001999E+001, 4.2015355E+000
 7.8000227E+001, 4.3922020E+000
 7.9005090E+001, 4.4076977E+000
 8.0003183E+001, 4.5220056E+000
 8.1003044E+001, 4.5860023E+000
 8.2004324E+001, 4.6650777E+000
 8.3001337E+001, 4.7067094E+000
 8.4003651E+001, 4.7773427E+000
 8.5004547E+001, 4.8719185E+000
 8.6001461E+001, 4.9955184E+000
 8.7003985E+001, 5.0027586E+000
 8.8000991E+001, 5.1025748E+000
 8.9002968E+001, 5.2408212E+000
 9.0002944E+001, 5.3222073E+000
 9.1000465E+001, 5.3948474E+000
 9.2000654E+001, 5.4593226E+000
 9.3002565E+001, 5.5350266E+000
 9.4000536E+001, 5.6193703E+000
 9.5002956E+001, 5.7026064E+000
 9.6001516E+001, 5.8556413E+000
 9.7003513E+001, 6.0507126E+000
 9.8002359E+001, 5.8714904E+000
 9.9001644E+001, 5.9181655E+000
 1.0000328E+002, 6.0261531E+000
 1.0100191E+002, 6.1486745E+000
 1.0200330E+002, 6.2113660E+000
 1.0300390E+002, 6.2919297E+000
 1.0400197E+002, 6.4571747E+000
 1.0500131E+002, 6.4442217E+000
 1.0600099E+002, 6.5715616E+000
 1.0700119E+002, 6.6023954E+000
 1.0800496E+002, 6.6808491E+000
 1.0900078E+002, 6.7912869E+000
 1.1000404E+002, 6.8257927E+000
 1.1100014E+002, 6.9256721E+000
 1.1200282E+002, 6.9980536E+000
 1.1300487E+002, 7.0420273E+000
 1.1400125E+002, 7.0877842E+000
 1.1500212E+002, 7.2015082E+000
 1.1600325E+002, 7.3369658E+000
 1.1700130E+002, 7.3579943E+000
 1.1800130E+002, 7.4233247E+000
 1.1900108E+002, 7.5251549E+000
 1.2000195E+002, 7.5962924E+000
 1.2100686E+002, 7.6687776E+000
 1.2200002E+002, 7.7227405E+000
 1.2300453E+002, 7.7906009E+000
 1.2400754E+002, 7.8639088E+000
 1.2500317E+002, 7.9481310E+000
 1.2600663E+002, 7.9750000E+000
 1.2700817E+002, 7.9750000E+000
 1.2800869E+002, 7.9612333E+000
 1.2900755E+002, 7.9661456E+000
 1.3000269E+002, 7.9750000E+000
 1.3100115E+002, 7.9513526E+000
 1.3200320E+002, 7.9418849E+000
