s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0078935E+000, 3.8995644E-001
 2.0058626E+000, 4.1604954E-002
 3.0025731E+000, 3.5425183E-002
 4.0010568E+000, 5.5210410E-002
 5.0015526E+000, 6.8652525E-002
 6.0003134E+000, 7.1861839E-002
 7.0028857E+000, 9.6318381E-002
 8.0050907E+000, 1.2082421E-001
 9.0060598E+000, 1.8587548E-001
 1.0005790E+001, 1.2179085E-001
 1.1001635E+001, 3.5436002E-001
 1.2000102E+001, 5.1446954E-001
 1.3000104E+001, 6.0161023E-001
 1.4007181E+001, 6.8916833E-001
 1.5001236E+001, 7.9198138E-001
 1.6005635E+001, 8.9455979E-001
 1.7002136E+001, 1.0057027E+000
 1.8005587E+001, 1.1197651E+000
 1.9003933E+001, 1.2288944E+000
 2.0004775E+001, 1.3361213E+000
 2.1004453E+001, 1.4487606E+000
 2.2001065E+001, 1.5702929E+000
 2.3002863E+001, 1.6688619E+000
 2.4001686E+001, 1.7867539E+000
 2.5005086E+001, 1.8849034E+000
 2.6003489E+001, 1.9791985E+000
 2.7005642E+001, 2.0799736E+000
 2.8003374E+001, 2.1838232E+000
 2.9001001E+001, 2.2717883E+000
 3.0002170E+001, 2.3633465E+000
 3.1006776E+001, 2.4511693E+000
 3.2000568E+001, 2.5187677E+000
 3.3002815E+001, 2.6139252E+000
 3.4004502E+001, 2.6977446E+000
 3.5002633E+001, 2.7564062E+000
 3.6005785E+001, 2.8243601E+000
 3.7001444E+001, 2.9034366E+000
 3.8005421E+001, 2.9891312E+000
 3.9001100E+001, 3.0603275E+000
 4.0004961E+001, 3.1476388E+000
 4.1001175E+001, 3.2266869E+000
 4.2004230E+001, 3.3085699E+000
 4.3001014E+001, 3.4058941E+000
 4.4004449E+001, 3.4871078E+000
 4.5006524E+001, 3.5873591E+000
 4.6001931E+001, 3.6696880E+000
 4.7004037E+001, 3.7595995E+000
 4.8004455E+001, 3.8636267E+000
 4.9002375E+001, 3.9748398E+000
 5.0005005E+001, 4.1004733E+000
 5.1002748E+001, 4.2338213E+000
 5.2005629E+001, 4.3483200E+000
 5.3001178E+001, 4.4692507E+000
 5.4000437E+001, 4.5663275E+000
 5.5005899E+001, 4.6672314E+000
 5.6004181E+001, 4.7749556E+000
 5.7004002E+001, 4.8748663E+000
 5.8001329E+001, 4.9812755E+000
 5.9003372E+001, 5.0709991E+000
 6.0002969E+001, 5.1712150E+000
 6.1005259E+001, 5.2638579E+000
 6.2000428E+001, 5.3414004E+000
 6.3004815E+001, 5.4288804E+000
 6.4002131E+001, 5.5207254E+000
 6.5001087E+001, 5.6416823E+000
 6.6005363E+001, 5.7450131E+000
 6.7002202E+001, 5.8450881E+000
 6.8003806E+001, 5.9343129E+000
 6.9005867E+001, 6.0511303E+000
 7.0002328E+001, 6.1082550E+000
 7.1001910E+001, 6.2245910E+000
 7.2004154E+001, 6.3278650E+000
 7.3006384E+001, 6.4344520E+000
 7.4002301E+001, 6.5115411E+000
 7.5001763E+001, 6.6297133E+000
 7.6001115E+001, 6.7416023E+000
 7.7003708E+001, 6.8324737E+000
 7.8002716E+001, 6.9364655E+000
 7.9004893E+001, 7.0337175E+000
 8.0000257E+001, 7.1066295E+000
 8.1001394E+001, 7.2049481E+000
 8.2005715E+001, 7.3022790E+000
 8.3001086E+001, 7.3887069E+000
 8.4002020E+001, 7.4533926E+000
 8.5000492E+001, 7.5425394E+000
 8.6002456E+001, 7.6079463E+000
 8.7001135E+001, 7.6775461E+000
 8.8004676E+001, 7.7268998E+000
 8.9002508E+001, 7.7690399E+000
 9.0003187E+001, 7.7750000E+000
 9.1005132E+001, 7.7936585E+000
 9.2006107E+001, 7.8166599E+000
 9.3013639E+001, 7.8235798E+000
