s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0043614E+000, 8.8584587E-002
 2.0041509E+000, 2.5000000E-002
 3.0054892E+000, 2.5000000E-002
 4.0081196E+000, 2.5000000E-002
 5.0000838E+000, 2.5000000E-002
 6.0068382E+000, 2.5000000E-002
 7.0035353E+000, 2.5000000E-002
 8.0030400E+000, 2.5000000E-002
 9.0013004E+000, 5.2631761E-002
 1.0002162E+001, 5.3827996E-002
 1.1000114E+001, 9.7715583E-002
 1.2001602E+001, 1.1620206E-001
 1.3003510E+001, 1.3595290E-001
 1.4000303E+001, 1.7121345E-001
 1.5000375E+001, 1.7628858E-001
 1.6005415E+001, 1.9140730E-001
 1.7005054E+001, 2.2500000E-001
 1.8000529E+001, 2.2500000E-001
 1.9000342E+001, 2.6111756E-001
 2.0000935E+001, 2.7500000E-001
 2.1003385E+001, 2.7500000E-001
 2.2001454E+001, 3.0727687E-001
 2.3000559E+001, 3.2500000E-001
 2.4006143E+001, 3.2500000E-001
 2.5005247E+001, 3.2774880E-001
 2.6004485E+001, 3.7500000E-001
 2.7003182E+001, 3.7500000E-001
 2.8000155E+001, 3.7500000E-001
 2.9001803E+001, 3.9094267E-001
 3.0001585E+001, 4.2500000E-001
 3.1003703E+001, 4.2500000E-001
 3.2003970E+001, 4.2500000E-001
 3.3000206E+001, 4.5715987E-001
 3.4002563E+001, 4.7500000E-001
 3.5002813E+001, 4.7500000E-001
 3.6003843E+001, 4.7500000E-001
 3.7002637E+001, 5.2058555E-001
 3.8003823E+001, 5.3323229E-001
 3.9003984E+001, 5.2500000E-001
 4.0002728E+001, 5.4379051E-001
 4.1000731E+001, 5.7500000E-001
 4.2001812E+001, 5.7500000E-001
 4.3000479E+001, 5.7956100E-001
 4.4003229E+001, 7.8232463E-001
 4.5000316E+001, 6.4459293E-001
 4.6002185E+001, 6.5051667E-001
 4.7000750E+001, 6.7659413E-001
 4.8000204E+001, 6.7500000E-001
 4.9001740E+001, 2.0795482E+000
 5.0002630E+001, 7.2500000E-001
 5.1000279E+001, 7.4625601E-001
 5.2001094E+001, 7.7801617E-001
 5.3003157E+001, 9.2652100E-001
 5.4003175E+001, 1.3128918E+000
 5.5003083E+001, 8.2500000E-001
 5.6002649E+001, 9.9404190E-001
 5.7004348E+001, 8.7500000E-001
 5.8000745E+001, 8.7545441E-001
 5.9001327E+001, 9.2500000E-001
 6.0001167E+001, 1.1456730E+000
 6.1000274E+001, 1.1644573E+000
 6.2000538E+001, 1.5771081E+000
 6.3000922E+001, 1.3314274E+000
 6.4002513E+001, 1.3850678E+000
 6.5001450E+001, 1.0750000E+000
 6.6002626E+001, 1.0984221E+000
 6.7000309E+001, 1.1279728E+000
 6.8000313E+001, 1.1701853E+000
 6.9000000E+001, 1.2004535E+000
