s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0143570E+000, 1.2471237E-001
 2.0084800E+000, 7.3996919E-002
 3.0031346E+000, 1.0690347E-001
 4.0030056E+000, 2.1357143E-001
 5.0019243E+000, 2.3715443E-001
 6.0022713E+000, 1.7526178E-001
 7.0047133E+000, 1.3247126E-001
 8.0117643E+000, 2.5000000E-002
 9.0003796E+000, 4.1666667E-002
 1.0010496E+001, 4.0057144E-002
 1.1006285E+001, 2.5000000E-002
 1.2005749E+001, 2.5000000E-002
 1.3005289E+001, 2.5000000E-002
 1.4006097E+001, 5.6530148E-002
 1.5001227E+001, 7.5000000E-002
 1.6008167E+001, 7.5000000E-002
 1.7007523E+001, 1.0413578E-001
 1.8001824E+001, 1.2500000E-001
 1.9000979E+001, 1.2500000E-001
 2.0005936E+001, 1.5509844E-001
 2.1000858E+001, 1.7500000E-001
 2.2002402E+001, 1.8147833E-001
 2.3005633E+001, 2.2500000E-001
 2.4002708E+001, 2.2500000E-001
 2.5002306E+001, 2.6510596E-001
 2.6003696E+001, 2.7500000E-001
 2.7001935E+001, 3.0143827E-001
 2.8005273E+001, 3.2500000E-001
 2.9000608E+001, 3.4111736E-001
 3.0004041E+001, 3.7500000E-001
 3.1004792E+001, 3.8464850E-001
 3.2003017E+001, 4.2500000E-001
 3.3005916E+001, 4.2852425E-001
 3.4004437E+001, 4.7433815E-001
 3.5003713E+001, 4.8232276E-001
 3.6004593E+001, 5.2500000E-001
 3.7003114E+001, 5.4078460E-001
 3.8001094E+001, 5.7500000E-001
 3.9002896E+001, 5.9960613E-001
 4.0001122E+001, 6.2119729E-001
 4.1001269E+001, 6.5931198E-001
 4.2001077E+001, 6.7500000E-001
 4.3002955E+001, 7.2437663E-001
 4.4001081E+001, 7.4897894E-001
 4.5004594E+001, 7.8335341E-001
 4.6002380E+001, 8.2653659E-001
 4.7001402E+001, 8.5780904E-001
 4.8001178E+001, 9.1088230E-001
 4.9001291E+001, 9.7592654E-001
 5.0001862E+001, 9.6948379E-001
 5.1001585E+001, 1.0160759E+000
 5.2000035E+001, 1.0342287E+000
 5.3000672E+001, 1.0742615E+000
 5.4001418E+001, 1.1164189E+000
 5.5004098E+001, 1.1635255E+000
 5.6003666E+001, 1.2365897E+000
 5.7003855E+001, 1.3084495E+000
 5.8000632E+001, 1.2940080E+000
 5.9001627E+001, 1.3368471E+000
 6.0001788E+001, 1.4506415E+000
 6.1001780E+001, 1.5159573E+000
 6.2005536E+001, 1.5287242E+000
 6.3005128E+001, 1.6779847E+000
 6.4003435E+001, 1.7362777E+000
 6.5001936E+001, 1.9305569E+000
 6.6000818E+001, 2.0847275E+000
 6.7000418E+001, 2.1470965E+000
 6.8004208E+001, 2.2817898E+000
 6.9003418E+001, 2.3681519E+000
 7.0004114E+001, 2.4607054E+000
 7.1004355E+001, 2.5610841E+000
 7.2005115E+001, 2.5982609E+000
 7.3004397E+001, 2.6788150E+000
 7.4002145E+001, 2.7507727E+000
 7.5000902E+001, 2.8120008E+000
 7.6001899E+001, 2.8687086E+000
 7.7003205E+001, 2.9554827E+000
 7.8003475E+001, 3.0696237E+000
 7.9000992E+001, 3.0893262E+000
 8.0003521E+001, 3.1284411E+000
 8.1000957E+001, 3.2116351E+000
 8.2004612E+001, 3.2520370E+000
 8.3002903E+001, 3.3205361E+000
 8.4000997E+001, 3.3641694E+000
 8.5002178E+001, 3.4251042E+000
 8.6001505E+001, 3.4921771E+000
 8.7003723E+001, 3.5075296E+000
 8.8001727E+001, 3.5506169E+000
 8.9000277E+001, 3.6190130E+000
 9.0003686E+001, 3.6855202E+000
 9.1003428E+001, 3.7092111E+000
 9.2005377E+001, 3.8287064E+000
