s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0058991E+000, 1.5638429E-001
 2.0040439E+000, 2.5000000E-002
 3.0132878E+000, 2.5000000E-002
 4.0086014E+000, 2.5000000E-002
 5.0054621E+000, 2.5000000E-002
 6.0007959E+000, 2.5000000E-002
 7.0024960E+000, 6.0799085E-002
 8.0034059E+000, 9.0216244E-002
 9.0041089E+000, 9.1076056E-002
 1.0004883E+001, 9.9430139E-002
 1.1005401E+001, 1.0529356E-001
 1.2004029E+001, 1.9497649E-001
 1.3004828E+001, 2.1781352E-001
 1.4001810E+001, 2.7458109E-001
 1.5002650E+001, 3.3308558E-001
 1.6000278E+001, 3.8449614E-001
 1.7004381E+001, 4.8404800E-001
 1.8004545E+001, 5.2592263E-001
 1.9005091E+001, 5.5726249E-001
 2.0001471E+001, 6.5932866E-001
 2.1001583E+001, 8.3746112E-001
 2.2004940E+001, 1.1058861E+000
 2.3000883E+001, 8.8518345E-001
 2.4004757E+001, 1.2682502E+000
 2.5001949E+001, 1.1037490E+000
 2.6002091E+001, 1.3780065E+000
 2.7004627E+001, 1.7729976E+000
 2.8004434E+001, 1.7609552E+000
 2.9004686E+001, 1.8985383E+000
 3.0000590E+001, 2.0990919E+000
 3.1003077E+001, 2.1837647E+000
 3.2004402E+001, 2.4343033E+000
 3.3004274E+001, 2.4442947E+000
 3.4002852E+001, 2.5754191E+000
 3.5000593E+001, 2.7571236E+000
 3.6004929E+001, 2.8823496E+000
 3.7000099E+001, 3.0039850E+000
 3.8003043E+001, 3.1516778E+000
 3.9004499E+001, 3.3076124E+000
 4.0003346E+001, 3.4740230E+000
 4.1005250E+001, 3.5996944E+000
 4.2003570E+001, 3.7449070E+000
 4.3003320E+001, 3.8448554E+000
 4.4000277E+001, 3.9719168E+000
 4.5002403E+001, 4.0002767E+000
 4.6004844E+001, 4.1220706E+000
 4.7000962E+001, 4.2404982E+000
 4.8005701E+001, 4.3878783E+000
 4.9004447E+001, 4.4591133E+000
 5.0001650E+001, 4.4076818E+000
 5.1000355E+001, 4.5462637E+000
 5.2004757E+001, 4.6102277E+000
 5.3000673E+001, 4.7286966E+000
 5.4003354E+001, 4.8131447E+000
 5.5005709E+001, 5.0003312E+000
 5.6000557E+001, 5.0913679E+000
 5.7001440E+001, 5.1054006E+000
 5.8004490E+001, 5.2171405E+000
 5.9001161E+001, 5.3221106E+000
 6.0001459E+001, 5.4436863E+000
 6.1003491E+001, 5.5015871E+000
 6.2002531E+001, 5.6178541E+000
 6.3000277E+001, 5.7476675E+000
 6.4002194E+001, 5.9406095E+000
 6.5001614E+001, 5.9451972E+000
 6.6002252E+001, 5.9499055E+000
 6.7001111E+001, 6.1322327E+000
 6.8001752E+001, 6.2482385E+000
 6.9000201E+001, 6.3580130E+000
 7.0000280E+001, 6.4793740E+000
 7.1005431E+001, 6.6303133E+000
 7.2000767E+001, 6.7621213E+000
 7.3001004E+001, 6.8860529E+000
 7.4000570E+001, 7.0074783E+000
 7.5002040E+001, 7.1232282E+000
 7.6002341E+001, 7.2513506E+000
 7.7002322E+001, 7.4013291E+000
 7.8004750E+001, 7.4630821E+000
 7.9001302E+001, 7.5750494E+000
 8.0005152E+001, 7.6542665E+000
 8.1004971E+001, 7.7613124E+000
 8.2001024E+001, 7.8346897E+000
 8.3006164E+001, 7.8892512E+000
 8.4003323E+001, 7.9633082E+000
 8.5000926E+001, 7.9455978E+000
 8.6012771E+001, 7.8341540E+000
 8.7006031E+001, 7.8057886E+000
