s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0090174E+000, 3.8815123E-001
 2.0034692E+000, 2.5000000E-002
 3.0075096E+000, 2.5000000E-002
 4.0042573E+000, 2.5000000E-002
 5.0008359E+000, 2.5000000E-002
 6.0030274E+000, 2.5000000E-002
 7.0022620E+000, 2.7811059E-002
 8.0021018E+000, 2.5000000E-002
 9.0050991E+000, 2.5000000E-002
 1.0003926E+001, 2.5616976E-002
 1.1003354E+001, 3.1728411E-002
 1.2004725E+001, 2.5000000E-002
 1.3001728E+001, 3.0130020E-002
 1.4005699E+001, 7.0433900E-002
 1.5006551E+001, 7.5000000E-002
 1.6001474E+001, 3.6321349E-002
 1.7000180E+001, 6.0413461E-002
 1.8004043E+001, 7.5000000E-002
 1.9000385E+001, 1.0924543E-001
 2.0002881E+001, 9.8679050E-002
 2.1002926E+001, 1.2336722E-001
 2.2003154E+001, 1.2175879E-001
 2.3000563E+001, 1.0235119E-001
 2.4005382E+001, 9.8789898E-002
 2.5001030E+001, 1.2500000E-001
 2.6003289E+001, 1.2500000E-001
 2.7002604E+001, 1.3513514E-001
 2.8000757E+001, 1.7500000E-001
 2.9004321E+001, 1.7500000E-001
 3.0006392E+001, 1.7500000E-001
 3.1006821E+001, 1.7500000E-001
 3.2002392E+001, 1.7500000E-001
 3.3006189E+001, 1.7500000E-001
 3.4004771E+001, 1.7611845E-001
 3.5000456E+001, 1.7664432E-001
 3.6004674E+001, 1.9193812E-001
 3.7004824E+001, 2.2428432E-001
 3.8000345E+001, 2.0989066E-001
 3.9000944E+001, 2.2500000E-001
 4.0000575E+001, 2.6701748E-001
 4.1004028E+001, 2.6750848E-001
 4.2000940E+001, 2.7500000E-001
 4.3000791E+001, 2.8544109E-001
 4.4004654E+001, 3.2327201E-001
 4.5005899E+001, 3.2500000E-001
 4.6005946E+001, 3.4843106E-001
 4.7002500E+001, 3.7500000E-001
 4.8001328E+001, 3.7500000E-001
 4.9004979E+001, 3.8669671E-001
 5.0000988E+001, 4.0837482E-001
 5.1004708E+001, 4.2500000E-001
 5.2001007E+001, 4.4152289E-001
 5.3005953E+001, 4.6097523E-001
 5.4003955E+001, 4.7500000E-001
 5.5005839E+001, 4.9906790E-001
 5.6006169E+001, 5.2500000E-001
 5.7004762E+001, 5.3001049E-001
 5.8005041E+001, 5.5252898E-001
 5.9003066E+001, 5.7500000E-001
 6.0001301E+001, 5.7918719E-001
 6.1006128E+001, 6.1272346E-001
 6.2005911E+001, 6.2500000E-001
 6.3004149E+001, 6.3475376E-001
 6.4003439E+001, 6.7048043E-001
 6.5004527E+001, 6.7500000E-001
 6.6000025E+001, 6.7500000E-001
 6.7003346E+001, 7.1957911E-001
 6.8004031E+001, 7.2767898E-001
 6.9002960E+001, 7.2500000E-001
 7.0000562E+001, 7.6095502E-001
 7.1002754E+001, 7.6939217E-001
 7.2004099E+001, 7.7500000E-001
 7.3005109E+001, 8.0808684E-001
 7.4004967E+001, 8.2721823E-001
 7.5006479E+001, 8.3354211E-001
 7.6003514E+001, 8.4331475E-001
 7.7000539E+001, 8.7500000E-001
 7.8003865E+001, 8.8166290E-001
 7.9006418E+001, 8.8092665E-001
 8.0001658E+001, 9.1684274E-001
 8.1002522E+001, 9.2500000E-001
 8.2004970E+001, 9.3740300E-001
 8.3003430E+001, 9.5247326E-001
 8.4003905E+001, 9.7122020E-001
 8.5001665E+001, 9.8141399E-001
 8.6005925E+001, 9.8731418E-001
 8.7001539E+001, 1.0162938E+000
 8.8003128E+001, 1.0250000E+000
 8.9004860E+001, 1.0322935E+000
 9.0004183E+001, 1.0507684E+000
 9.1000976E+001, 1.0738334E+000
 9.2004232E+001, 1.0762656E+000
