s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0140088E+000, 3.8636364E-001
 2.0000982E+000, 2.5000000E-002
 3.0030905E+000, 2.5000000E-002
 4.0007083E+000, 2.5000000E-002
 5.0006438E+000, 2.5000000E-002
 6.0049791E+000, 2.5000000E-002
 7.0040162E+000, 2.5000000E-002
 8.0037450E+000, 4.6750790E-002
 9.0036469E+000, 2.5869919E-002
 1.0003227E+001, 3.5374247E-002
 1.1003119E+001, 7.3152051E-002
 1.2001671E+001, 1.1497241E-001
 1.3004233E+001, 1.2500000E-001
 1.4002867E+001, 1.3161678E-001
 1.5001419E+001, 1.7359503E-001
 1.6009645E+001, 1.7500000E-001
 1.7000937E+001, 1.7500000E-001
