s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0120840E+000, 9.4549068E-002
 2.0012805E+000, 6.6938270E-002
 3.0045421E+000, 7.6300419E-002
 4.0008726E+000, 2.8284672E-002
 5.0044756E+000, 2.5000000E-002
 6.0074241E+000, 2.5000000E-002
 7.0017911E+000, 2.5000000E-002
 8.0019533E+000, 2.5000000E-002
 9.0068082E+000, 2.5000000E-002
 1.0001836E+001, 2.5000000E-002
 1.1007454E+001, 4.7146748E-002
 1.2005542E+001, 2.5000000E-002
 1.3002785E+001, 6.0675912E-002
 1.4000272E+001, 7.5000000E-002
 1.5002852E+001, 7.9688863E-002
 1.6007291E+001, 1.2500000E-001
 1.7000037E+001, 1.2500000E-001
 1.8001535E+001, 1.3586726E-001
 1.9000067E+001, 1.7500000E-001
 2.0005712E+001, 1.7500000E-001
 2.1007188E+001, 2.0402698E-001
 2.2004921E+001, 2.2649256E-001
 2.3002847E+001, 2.2528362E-001
 2.4006036E+001, 3.0547912E-001
 2.5004011E+001, 3.6012872E-001
 2.6004897E+001, 5.7632538E-001
 2.7004108E+001, 4.1655397E-001
 2.8001762E+001, 7.4273667E-001
 2.9001197E+001, 4.7775305E-001
 3.0005143E+001, 4.9801082E-001
 3.1003412E+001, 1.1216148E+000
 3.2001327E+001, 9.7905164E-001
 3.3003679E+001, 1.4573610E+000
 3.4002544E+001, 1.1846205E+000
 3.5002057E+001, 8.9221700E-001
 3.6004218E+001, 1.5146630E+000
 3.7001215E+001, 1.3810259E+000
 3.8001788E+001, 2.0754746E+000
 3.9000059E+001, 2.2489571E+000
 4.0000149E+001, 2.3344322E+000
 4.1000559E+001, 2.3039561E+000
 4.2000261E+001, 2.3037688E+000
 4.3000605E+001, 2.5113541E+000
 4.4003607E+001, 2.6116146E+000
 4.5002338E+001, 2.3116943E+000
 4.6002989E+001, 2.1145082E+000
 4.7002363E+001, 1.8192751E+000
 4.8001035E+001, 2.4876878E+000
 4.9001701E+001, 2.3734249E+000
 5.0002117E+001, 2.4709224E+000
 5.1001321E+001, 2.2822272E+000
 5.2003980E+001, 2.2925269E+000
 5.3000400E+001, 2.4102731E+000
 5.4003391E+001, 2.7240871E+000
 5.5000874E+001, 2.6471352E+000
 5.6001658E+001, 2.8855566E+000
 5.7001119E+001, 2.9141640E+000
 5.8003490E+001, 3.3095807E+000
 5.9003017E+001, 3.2984430E+000
 6.0000903E+001, 3.6366095E+000
 6.1000159E+001, 4.1376369E+000
 6.2004486E+001, 3.7300008E+000
 6.3001598E+001, 3.5474900E+000
 6.4003113E+001, 4.0391000E+000
 6.5003312E+001, 4.1772641E+000
 6.6003544E+001, 4.1628398E+000
 6.7002385E+001, 4.0423001E+000
 6.8003529E+001, 3.8854660E+000
 6.9000785E+001, 4.0676041E+000
 7.0004527E+001, 4.1663752E+000
 7.1002202E+001, 4.2937190E+000
 7.2004045E+001, 4.2727591E+000
 7.3003345E+001, 4.8608403E+000
 7.4000218E+001, 4.7160744E+000
 7.5002927E+001, 4.6905565E+000
 7.6001914E+001, 4.8635121E+000
 7.7003498E+001, 4.9364374E+000
 7.8001918E+001, 5.0759445E+000
 7.9000638E+001, 5.0704112E+000
 8.0003863E+001, 5.3202433E+000
 8.1003449E+001, 5.2855332E+000
 8.2004146E+001, 5.4363325E+000
 8.3002799E+001, 5.6907835E+000
 8.4002915E+001, 5.6213496E+000
 8.5001641E+001, 5.7077385E+000
 8.6000305E+001, 5.8808955E+000
 8.7002744E+001, 6.0100787E+000
 8.8001547E+001, 6.0235594E+000
 8.9002644E+001, 6.1655631E+000
 9.0002710E+001, 6.4147540E+000
 9.1003283E+001, 6.6238262E+000
 9.2002562E+001, 6.9155823E+000
 9.3000600E+001, 6.6864278E+000
 9.4003113E+001, 6.8349911E+000
 9.5000676E+001, 6.7666767E+000
 9.6001077E+001, 6.8139850E+000
 9.7004391E+001, 7.1130862E+000
 9.8001159E+001, 7.0915407E+000
 9.9001303E+001, 7.1473335E+000
 1.0000165E+002, 7.2087132E+000
 1.0100589E+002, 7.2765900E+000
 1.0200635E+002, 7.3368999E+000
 1.0300612E+002, 7.4334723E+000
 1.0400191E+002, 7.5310897E+000
 1.0500370E+002, 7.7437191E+000
 1.0600199E+002, 7.8357439E+000
 1.0700995E+002, 7.9552354E+000
 1.0800955E+002, 7.9614733E+000
 1.0901088E+002, 7.8800000E+000
