s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0060261E+000, 1.1215194E-001
 2.0000898E+000, 2.5000000E-002
 3.0066786E+000, 2.5000000E-002
 4.0048791E+000, 3.0882353E-002
 5.0030796E+000, 2.5000000E-002
 6.0012801E+000, 2.5000000E-002
 7.0078688E+000, 2.5000000E-002
 8.0060693E+000, 2.5000000E-002
 9.0042698E+000, 2.5000000E-002
 1.0002470E+001, 2.5000000E-002
 1.1008975E+001, 2.5000000E-002
 1.2006108E+001, 2.9895769E-002
 1.3004350E+001, 5.8075379E-002
 1.4000680E+001, 7.3902491E-002
 1.5005333E+001, 7.5000000E-002
 1.6006886E+001, 7.5000000E-002
 1.7004709E+001, 7.5000000E-002
 1.8003195E+001, 1.2500000E-001
 1.9002817E+001, 1.6749053E-001
 2.0000525E+001, 1.3101799E-001
 2.1000436E+001, 1.7317673E-001
 2.2004337E+001, 1.7500000E-001
 2.3000161E+001, 1.9204545E-001
 2.4002398E+001, 2.3026910E-001
 2.5002372E+001, 2.2500000E-001
 2.6001373E+001, 2.2500000E-001
 2.7000643E+001, 2.7871606E-001
 2.8005147E+001, 2.7366536E-001
 2.9002748E+001, 2.7500000E-001
 3.0004542E+001, 3.4739014E-001
 3.1002056E+001, 3.4217197E-001
 3.2006836E+001, 3.6126524E-001
 3.3000616E+001, 5.0213371E-001
 3.4004445E+001, 3.5322978E-001
 3.5006055E+001, 6.1058321E-001
 3.6004525E+001, 3.9435837E-001
 3.7003224E+001, 6.9047520E-001
 3.8003908E+001, 5.6407499E-001
 3.9006836E+001, 6.2711079E-001
 4.0004556E+001, 1.1281634E+000
 4.1001694E+001, 1.0344304E+000
 4.2000397E+001, 1.2400048E+000
 4.3004042E+001, 1.0878385E+000
 4.4000997E+001, 1.2757534E+000
 4.5004094E+001, 1.2362908E+000
 4.6001535E+001, 1.5957157E+000
 4.7002281E+001, 1.5180389E+000
 4.8001399E+001, 1.5103865E+000
 4.9000533E+001, 1.8821102E+000
 5.0004894E+001, 1.6696723E+000
 5.1002551E+001, 9.9774451E-001
 5.2001326E+001, 1.8916042E+000
 5.3001314E+001, 1.7845096E+000
 5.4001262E+001, 1.1780627E+000
 5.5004604E+001, 2.0376824E+000
 5.6004439E+001, 2.0837388E+000
 5.7004635E+001, 2.2524751E+000
 5.8004403E+001, 2.3693801E+000
 5.9003588E+001, 2.4881482E+000
 6.0002378E+001, 2.5551700E+000
 6.1001365E+001, 2.2274434E+000
 6.2000058E+001, 2.3637752E+000
 6.3000087E+001, 2.6584803E+000
 6.4001941E+001, 2.7627760E+000
 6.5000968E+001, 2.3454571E+000
 6.6001757E+001, 2.4290407E+000
 6.7002558E+001, 2.0737842E+000
 6.8002883E+001, 2.5602550E+000
 6.9001027E+001, 2.1293196E+000
 7.0003116E+001, 2.5773197E+000
 7.1001262E+001, 2.3125584E+000
 7.2002652E+001, 2.8026947E+000
 7.3002631E+001, 2.9133927E+000
 7.4001500E+001, 2.4911231E+000
 7.5002446E+001, 2.9107470E+000
 7.6001010E+001, 2.7667844E+000
 7.7000535E+001, 3.2832836E+000
 7.8000587E+001, 2.9654830E+000
 7.9002170E+001, 3.3718495E+000
 8.0004086E+001, 3.1805142E+000
 8.1002412E+001, 3.0142123E+000
 8.2001270E+001, 3.2413206E+000
 8.3001560E+001, 3.1868921E+000
 8.4004343E+001, 3.5139515E+000
 8.5001847E+001, 3.3888553E+000
 8.6004540E+001, 3.4871723E+000
 8.7003891E+001, 3.7794961E+000
 8.8001329E+001, 3.8425745E+000
 8.9002426E+001, 3.6814444E+000
 9.0003099E+001, 3.6259828E+000
 9.1004415E+001, 3.8361735E+000
 9.2001690E+001, 3.7755727E+000
