s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0031764E+000, 1.2905759E-001
 2.0092378E+000, 2.5000000E-002
 3.0069068E+000, 2.5000000E-002
 4.0045758E+000, 2.5000000E-002
 5.0022448E+000, 2.5000000E-002
 6.0074549E+000, 2.5000000E-002
 7.0015494E+000, 2.5000000E-002
 8.0001682E+000, 2.5000000E-002
 9.0038355E+000, 2.5000000E-002
 1.0002174E+001, 2.5000000E-002
 1.1000710E+001, 6.9925985E-002
 1.2002963E+001, 2.5613898E-001
 1.3003124E+001, 3.1816002E-001
 1.4008250E+001, 3.8621450E-001
 1.5001308E+001, 5.4359267E-001
 1.6005877E+001, 8.8049566E-001
 1.7006539E+001, 8.9139791E-001
 1.8004790E+001, 1.1758815E+000
 1.9005161E+001, 1.4725993E+000
 2.0005821E+001, 1.5947999E+000
 2.1002081E+001, 1.7838150E+000
 2.2004412E+001, 1.9284316E+000
 2.3005231E+001, 2.1410542E+000
 2.4002808E+001, 2.3521239E+000
 2.5006820E+001, 2.5536040E+000
 2.6004956E+001, 2.6398078E+000
 2.7000285E+001, 2.7842551E+000
 2.8003055E+001, 2.8923298E+000
 2.9007450E+001, 3.0309773E+000
 3.0003909E+001, 3.2014890E+000
 3.1000063E+001, 3.3171327E+000
 3.2005395E+001, 3.4455697E+000
 3.3005236E+001, 3.5517823E+000
 3.4004778E+001, 3.6662496E+000
 3.5001313E+001, 3.8595926E+000
 3.6004840E+001, 4.0255319E+000
 3.7006944E+001, 4.1492188E+000
 3.8002584E+001, 4.3272505E+000
 3.9006536E+001, 4.5086896E+000
 4.0007359E+001, 4.6882712E+000
 4.1005919E+001, 4.8605072E+000
 4.2002220E+001, 4.9785381E+000
 4.3007687E+001, 5.1244710E+000
 4.4005895E+001, 5.2420765E+000
 4.5001695E+001, 5.3539951E+000
 4.6007864E+001, 5.4858943E+000
 4.7007821E+001, 5.6271193E+000
 4.8005851E+001, 5.7057087E+000
 4.9006422E+001, 5.8571444E+000
 5.0006085E+001, 6.0013793E+000
 5.1007316E+001, 6.1504670E+000
 5.2004231E+001, 6.3083333E+000
 5.3001441E+001, 6.3640948E+000
 5.4001959E+001, 6.5257229E+000
 5.5003648E+001, 6.7125053E+000
 5.6003574E+001, 6.8967538E+000
 5.7006046E+001, 7.0083920E+000
 5.8000291E+001, 7.1663502E+000
 5.9001994E+001, 7.3047947E+000
 6.0004314E+001, 7.4166282E+000
 6.1004854E+001, 7.5493478E+000
 6.2001505E+001, 7.6825433E+000
 6.3003971E+001, 7.7969997E+000
 6.4006454E+001, 7.8991159E+000
 6.5001903E+001, 7.9729668E+000
 6.6005577E+001, 7.9735521E+000
