s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0058991E+000, 1.6134574E-001
 2.0074299E+000, 3.3969573E-002
 3.0020662E+000, 2.5000000E-002
 4.0070846E+000, 2.5000000E-002
 5.0072575E+000, 2.5000000E-002
 6.0060306E+000, 2.5000000E-002
 7.0004002E+000, 2.5000000E-002
 8.0009267E+000, 2.5000000E-002
 9.0043144E+000, 3.2438201E-002
 1.0000981E+001, 1.8559102E-001
 1.1000411E+001, 2.5000000E-002
 1.2007704E+001, 2.3581308E-001
 1.3004787E+001, 7.5000000E-002
 1.4007466E+001, 1.4933406E-001
 1.5001085E+001, 1.3015566E-001
 1.6006784E+001, 1.4966621E-001
 1.7005899E+001, 1.2500000E-001
 1.8000969E+001, 1.3888267E-001
 1.9001818E+001, 1.2500000E-001
 2.0005005E+001, 1.8826994E-001
 2.1003939E+001, 1.9084556E-001
 2.2004824E+001, 2.9965253E-001
 2.3002756E+001, 2.7294367E-001
 2.4004539E+001, 2.2500000E-001
 2.5003734E+001, 3.2611481E-001
 2.6004647E+001, 3.2096110E-001
 2.7003783E+001, 2.7500000E-001
 2.8001298E+001, 3.2467516E-001
 2.9004107E+001, 3.3822819E-001
 3.0001813E+001, 3.2500000E-001
 3.1004772E+001, 5.2900045E-001
 3.2000494E+001, 7.7768430E-001
 3.3001051E+001, 6.3403236E-001
 3.4002253E+001, 1.0723927E+000
 3.5000660E+001, 7.8565136E-001
 3.6003407E+001, 1.2620032E+000
 3.7002988E+001, 1.3583873E+000
 3.8000942E+001, 1.3482324E+000
 3.9001251E+001, 1.3780753E+000
 4.0003193E+001, 1.8728892E+000
 4.1001474E+001, 1.7938529E+000
 4.2001085E+001, 1.6582133E+000
 4.3000843E+001, 1.4478094E+000
 4.4001932E+001, 1.6927751E+000
 4.5001362E+001, 1.1148830E+000
 4.6001235E+001, 1.9425605E+000
 4.7000078E+001, 9.4055421E-001
 4.8003596E+001, 1.5811670E+000
 4.9002633E+001, 1.5631551E+000
 5.0003054E+001, 1.4793006E+000
 5.1000581E+001, 1.7853313E+000
 5.2002239E+001, 2.4311409E+000
 5.3000832E+001, 2.1103085E+000
 5.4003358E+001, 2.3392449E+000
 5.5004145E+001, 2.6170069E+000
 5.6000056E+001, 2.5144409E+000
 5.7002014E+001, 2.2642306E+000
 5.8000038E+001, 2.5333086E+000
 5.9002479E+001, 2.5255708E+000
 6.0000808E+001, 2.0689745E+000
 6.1003043E+001, 2.4510418E+000
 6.2000924E+001, 2.7386399E+000
 6.3003056E+001, 2.7172642E+000
 6.4002979E+001, 3.2080512E+000
 6.5002052E+001, 3.4340587E+000
 6.6003421E+001, 3.1218754E+000
 6.7002295E+001, 2.8327709E+000
 6.8000703E+001, 3.0272070E+000
 6.9000965E+001, 3.2257742E+000
 7.0000062E+001, 2.9090240E+000
 7.1003627E+001, 3.0282152E+000
 7.2002631E+001, 3.1196923E+000
 7.3002340E+001, 3.5456778E+000
 7.4002106E+001, 3.0907463E+000
 7.5001790E+001, 3.1109784E+000
 7.6004327E+001, 3.1225007E+000
 7.7003838E+001, 3.1682488E+000
 7.8000725E+001, 3.5036570E+000
 7.9001809E+001, 4.1492070E+000
 8.0003826E+001, 4.0796431E+000
 8.1001722E+001, 3.8012659E+000
 8.2000340E+001, 4.0662522E+000
 8.3002747E+001, 4.2093217E+000
 8.4003931E+001, 3.6560546E+000
 8.5004662E+001, 3.7913009E+000
 8.6000938E+001, 3.9932642E+000
 8.7000173E+001, 4.0612431E+000
 8.8002611E+001, 4.2811083E+000
 8.9003642E+001, 3.9416472E+000
 9.0001251E+001, 4.2856705E+000
 9.1002238E+001, 4.2669066E+000
 9.2000883E+001, 4.0225299E+000
