s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0071372E+000, 1.7903991E-001
 2.0195697E+000, 2.6385732E-002
 3.0047093E+000, 2.5000000E-002
 4.0103726E+000, 2.5000000E-002
 5.0037133E+000, 2.5000000E-002
 6.0016420E+000, 2.5000000E-002
 7.0082483E+000, 2.5000000E-002
 8.0084035E+000, 2.5000000E-002
 9.0024210E+000, 2.5000000E-002
 1.0005341E+001, 2.5000000E-002
 1.1005682E+001, 3.9760973E-002
 1.2005582E+001, 6.1887931E-002
 1.3004941E+001, 5.9544528E-002
 1.4004263E+001, 9.7822953E-002
 1.5003325E+001, 8.2382947E-002
 1.6000312E+001, 1.2500000E-001
 1.7000056E+001, 1.2603292E-001
 1.8003318E+001, 1.7500000E-001
 1.9002176E+001, 1.4795654E-001
 2.0001223E+001, 2.1614127E-001
 2.1001238E+001, 1.9920159E-001
 2.2004447E+001, 2.4135715E-001
 2.3001069E+001, 2.6987917E-001
 2.4000457E+001, 2.9153619E-001
 2.5001554E+001, 3.1518918E-001
 2.6003119E+001, 3.3104968E-001
 2.7002937E+001, 3.7500000E-001
 2.8002630E+001, 3.8188749E-001
 2.9003802E+001, 4.1665324E-001
 3.0004359E+001, 4.7142950E-001
 3.1001546E+001, 6.4719873E-001
 3.2004265E+001, 4.8429000E-001
 3.3003183E+001, 4.9890396E-001
 3.4002043E+001, 4.9371538E-001
 3.5003810E+001, 5.2322903E-001
 3.6001262E+001, 5.6605412E-001
 3.7002583E+001, 6.1419970E-001
 3.8001655E+001, 6.3984040E-001
 3.9000405E+001, 6.2659451E-001
 4.0001509E+001, 7.3261466E-001
 4.1003725E+001, 6.2544256E-001
 4.2001119E+001, 6.8172100E-001
 4.3003414E+001, 6.8474399E-001
 4.4000394E+001, 7.5297404E-001
 4.5003278E+001, 7.2541254E-001
 4.6001610E+001, 7.6701310E-001
 4.7000325E+001, 7.7584109E-001
 4.8003310E+001, 8.1187958E-001
 4.9000014E+001, 8.2500000E-001
 5.0003521E+001, 9.5550241E-001
 5.1002293E+001, 8.7500000E-001
 5.2002030E+001, 9.4779054E-001
 5.3002507E+001, 9.2500000E-001
 5.4001657E+001, 9.8222693E-001
 5.5000766E+001, 9.8972995E-001
 5.6002458E+001, 1.0250000E+000
 5.7002616E+001, 1.0720296E+000
 5.8001665E+001, 1.1754688E+000
 5.9000815E+001, 1.1072329E+000
 6.0001223E+001, 1.1250000E+000
 6.1002624E+001, 1.1713194E+000
 6.2000718E+001, 1.1928478E+000
 6.3002792E+001, 1.2250000E+000
 6.4001130E+001, 1.2623832E+000
 6.5001844E+001, 1.2856293E+000
 6.6002775E+001, 1.3250000E+000
 6.7000358E+001, 1.3556418E+000
 6.8003247E+001, 1.3880899E+000
 6.9003235E+001, 1.4308552E+000
 7.0001189E+001, 1.4713249E+000
 7.1002680E+001, 1.4884266E+000
 7.2000004E+001, 1.5413500E+000
 7.3001568E+001, 1.5651960E+000
 7.4001114E+001, 1.6076494E+000
 7.5001344E+001, 1.6495431E+000
 7.6001132E+001, 1.6729838E+000
 7.7002213E+001, 1.7169121E+000
 7.8002814E+001, 1.7624795E+000
 7.9003342E+001, 1.7984940E+000
 8.0000228E+001, 1.8278728E+000
 8.1002227E+001, 1.8687624E+000
 8.2003846E+001, 1.9130856E+000
 8.3000185E+001, 1.9361471E+000
 8.4003929E+001, 1.9734267E+000
 8.5003655E+001, 2.0250000E+000
 8.6000686E+001, 2.0510451E+000
 8.7000502E+001, 2.0720727E+000
 8.8003697E+001, 2.1189025E+000
 8.9004291E+001, 2.1618060E+000
 9.0004054E+001, 2.1915979E+000
 9.1001807E+001, 2.2182160E+000
 9.2001699E+001, 2.2750000E+000
