s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0222974E+000, 1.9875673E-001
 2.0065883E+000, 3.1763842E-002
 3.0141137E+000, 2.5000000E-002
 4.0026385E+000, 2.5000000E-002
 5.0011458E+000, 2.5000000E-002
 6.0085132E+000, 2.5000000E-002
 7.0068174E+000, 2.9147862E-002
 8.0054519E+000, 2.5000000E-002
 9.0049498E+000, 2.5000000E-002
 1.0004424E+001, 2.5834278E-002
 1.1000898E+001, 5.4106803E-002
 1.2006664E+001, 9.4958157E-002
 1.3005312E+001, 1.2943212E-001
 1.4001388E+001, 1.3212997E-001
 1.5002905E+001, 1.8489980E-001
 1.6004702E+001, 1.9774913E-001
 1.7003800E+001, 2.5233425E-001
 1.8004849E+001, 2.6482477E-001
 1.9005600E+001, 3.2354041E-001
 2.0002399E+001, 3.2500000E-001
 2.1004097E+001, 4.0282862E-001
 2.2004780E+001, 4.7077985E-001
 2.3005704E+001, 5.8366105E-001
 2.4001582E+001, 5.7283830E-001
 2.5003200E+001, 6.4027621E-001
 2.6001694E+001, 7.6151140E-001
 2.7001386E+001, 1.1843152E+000
 2.8003431E+001, 9.8524246E-001
 2.9001563E+001, 1.3688052E+000
 3.0003406E+001, 1.1896290E+000
 3.1000074E+001, 1.2126302E+000
 3.2001933E+001, 1.2515991E+000
 3.3000501E+001, 1.0960992E+000
 3.4000918E+001, 1.4842852E+000
 3.5003446E+001, 1.6802352E+000
 3.6003260E+001, 1.3485576E+000
 3.7002467E+001, 1.5304632E+000
 3.8002611E+001, 2.1592846E+000
 3.9004179E+001, 1.9732888E+000
 4.0003396E+001, 1.8428508E+000
 4.1002822E+001, 2.2131889E+000
 4.2004201E+001, 2.0340221E+000
 4.3002508E+001, 2.2680063E+000
 4.4000321E+001, 1.9072410E+000
 4.5000058E+001, 2.1965554E+000
 4.6005101E+001, 2.3009958E+000
 4.7001466E+001, 2.2007421E+000
 4.8004657E+001, 2.5689614E+000
 4.9001074E+001, 2.8805109E+000
 5.0001497E+001, 2.4457631E+000
 5.1003216E+001, 2.9019307E+000
 5.2003698E+001, 2.6197927E+000
 5.3001898E+001, 3.3155924E+000
 5.4002349E+001, 3.4448832E+000
 5.5003773E+001, 3.6714891E+000
 5.6002386E+001, 3.3248449E+000
 5.7002858E+001, 3.2743568E+000
 5.8003383E+001, 3.1479819E+000
 5.9004424E+001, 3.5292516E+000
 6.0001117E+001, 3.5164736E+000
 6.1000633E+001, 3.8558649E+000
 6.2004428E+001, 3.7059971E+000
 6.3004584E+001, 4.2264724E+000
 6.4004511E+001, 4.0457930E+000
 6.5000126E+001, 4.4771294E+000
 6.6000471E+001, 4.4598818E+000
 6.7001878E+001, 4.5828855E+000
 6.8003825E+001, 4.4611843E+000
 6.9004445E+001, 4.6177779E+000
 7.0002705E+001, 4.9168140E+000
 7.1003252E+001, 4.4965091E+000
 7.2003852E+001, 4.9730660E+000
 7.3004369E+001, 4.8240394E+000
 7.4002412E+001, 4.7628465E+000
 7.5000165E+001, 4.9396391E+000
 7.6000297E+001, 4.9081421E+000
 7.7000859E+001, 5.1068240E+000
 7.8000019E+001, 5.0781641E+000
 7.9002695E+001, 5.1734939E+000
 8.0003053E+001, 5.2236154E+000
 8.1004221E+001, 5.4638275E+000
 8.2001971E+001, 5.6849571E+000
 8.3003567E+001, 5.6389435E+000
 8.4002825E+001, 5.9486597E+000
 8.5000482E+001, 5.7803163E+000
 8.6000031E+001, 5.8629698E+000
 8.7003695E+001, 5.9851886E+000
 8.8002986E+001, 6.0440115E+000
 8.9004767E+001, 5.9847572E+000
 9.0002489E+001, 6.1239092E+000
 9.1003260E+001, 6.1134040E+000
 9.2004649E+001, 6.2595783E+000
 9.3002895E+001, 6.3134689E+000
 9.4002651E+001, 6.5714050E+000
 9.5000963E+001, 6.6325572E+000
 9.6004152E+001, 6.5441711E+000
 9.7004001E+001, 6.5483012E+000
 9.8002871E+001, 6.7490097E+000
 9.9000676E+001, 6.7614375E+000
 1.0000154E+002, 6.8964508E+000
 1.0100256E+002, 6.9903366E+000
 1.0200311E+002, 7.0287486E+000
 1.0300180E+002, 7.1468174E+000
 1.0400179E+002, 7.2065712E+000
 1.0500312E+002, 7.2941665E+000
 1.0600442E+002, 7.3278864E+000
 1.0700124E+002, 7.4023513E+000
 1.0800191E+002, 7.4290547E+000
 1.0900265E+002, 7.4592042E+000
 1.1000223E+002, 7.5303369E+000
 1.1100168E+002, 7.6189801E+000
 1.1200143E+002, 7.6371822E+000
 1.1300512E+002, 7.6683203E+000
 1.1400285E+002, 7.7375951E+000
 1.1500182E+002, 7.7928783E+000
 1.1600476E+002, 7.8314188E+000
 1.1700816E+002, 7.8933893E+000
 1.1800339E+002, 7.9480738E+000
 1.1900824E+002, 7.9750000E+000
 1.2000275E+002, 7.9750000E+000
 1.2100744E+002, 7.9671365E+000
 1.2200116E+002, 7.9648732E+000
 1.2300614E+002, 7.9210735E+000
