s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0158856E+000, 3.8569605E-001
 2.0044910E+000, 2.5000000E-002
 3.0015174E+000, 2.5000000E-002
 4.0036477E+000, 2.5000000E-002
 5.0061160E+000, 2.5000000E-002
 6.0045616E+000, 2.5000000E-002
 7.0011523E+000, 2.5000000E-002
 8.0045105E+000, 2.5000000E-002
 9.0049240E+000, 2.6171987E-002
 1.0006714E+001, 2.5000000E-002
 1.1005057E+001, 2.5000000E-002
 1.2006476E+001, 2.5000000E-002
 1.3008734E+001, 2.5000000E-002
 1.4006266E+001, 2.5000000E-002
 1.5008819E+001, 3.4042120E-002
 1.6006787E+001, 7.5000000E-002
 1.7012855E+001, 7.5000000E-002
 1.8008217E+001, 7.5000000E-002
 1.9009057E+001, 7.5000000E-002
 2.0017994E+001, 7.5000000E-002
