s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0222974E+000, 1.9875673E-001
 2.0063288E+000, 3.2958479E-002
 3.0133993E+000, 2.5000000E-002
 4.0137442E+000, 2.5000000E-002
 5.0094758E+000, 2.5000000E-002
 6.0086301E+000, 2.5000000E-002
 7.0065731E+000, 2.6804145E-002
 8.0002513E+000, 2.5000000E-002
 9.0034170E+000, 2.5000000E-002
 1.0001009E+001, 3.4177025E-002
 1.1004909E+001, 6.6039992E-002
 1.2002538E+001, 9.7020999E-002
 1.3001176E+001, 1.2500000E-001
 1.4001620E+001, 1.5574904E-001
 1.5004176E+001, 1.7500000E-001
 1.6005555E+001, 2.1225784E-001
 1.7002322E+001, 2.2500000E-001
 1.8000852E+001, 2.7248782E-001
 1.9001085E+001, 2.9575112E-001
 2.0002982E+001, 3.3989205E-001
 2.1004631E+001, 3.8147223E-001
 2.2002818E+001, 4.8800815E-001
 2.3002545E+001, 5.4273320E-001
 2.4001978E+001, 6.3905740E-001
 2.5003517E+001, 7.1687200E-001
 2.6003016E+001, 8.6534347E-001
 2.7002395E+001, 1.0971070E+000
 2.8001502E+001, 1.3888895E+000
 2.9000405E+001, 1.1990104E+000
 3.0002388E+001, 1.2619115E+000
 3.1003082E+001, 1.1946618E+000
 3.2001847E+001, 1.2095395E+000
 3.3001861E+001, 1.4330071E+000
 3.4001140E+001, 1.4812857E+000
 3.5002030E+001, 1.6429664E+000
 3.6003421E+001, 1.4366390E+000
 3.7002622E+001, 1.7294869E+000
 3.8001559E+001, 1.8159868E+000
 3.9000401E+001, 2.0409861E+000
 4.0004253E+001, 2.1705748E+000
 4.1003192E+001, 2.1029867E+000
 4.2002338E+001, 2.3859776E+000
 4.3002046E+001, 2.5159983E+000
 4.4004375E+001, 2.8323278E+000
 4.5003915E+001, 2.6608793E+000
 4.6000221E+001, 2.6597268E+000
 4.7003550E+001, 2.7089177E+000
 4.8004784E+001, 3.0966180E+000
 4.9002106E+001, 3.3716360E+000
 5.0001972E+001, 2.9305516E+000
 5.1003846E+001, 2.8664221E+000
 5.2002761E+001, 3.0034984E+000
 5.3003432E+001, 2.8896005E+000
 5.4000816E+001, 3.0686398E+000
 5.5003632E+001, 2.9101655E+000
 5.6000469E+001, 3.3925530E+000
 5.7001048E+001, 3.2453783E+000
 5.8002467E+001, 3.6165624E+000
 5.9004591E+001, 3.2366266E+000
 6.0005133E+001, 3.1794758E+000
 6.1002003E+001, 3.3486168E+000
 6.2003723E+001, 3.6116423E+000
 6.3003682E+001, 3.6635673E+000
 6.4001984E+001, 3.8115611E+000
 6.5000448E+001, 4.6096305E+000
 6.6003750E+001, 4.4698989E+000
 6.7000701E+001, 4.5266374E+000
 6.8000358E+001, 4.8700766E+000
 6.9001364E+001, 4.3965380E+000
 7.0002573E+001, 4.5757987E+000
 7.1001555E+001, 4.7975709E+000
 7.2000519E+001, 5.2253398E+000
 7.3001862E+001, 5.2142742E+000
 7.4000195E+001, 5.1039795E+000
 7.5001306E+001, 4.5848879E+000
 7.6004105E+001, 5.3487057E+000
 7.7000187E+001, 4.9932710E+000
 7.8003368E+001, 5.1871282E+000
 7.9004257E+001, 5.3122547E+000
 8.0001900E+001, 5.9626831E+000
 8.1001226E+001, 6.1716350E+000
 8.2004239E+001, 5.6299118E+000
 8.3000380E+001, 5.2829260E+000
 8.4004918E+001, 5.5423930E+000
 8.5002458E+001, 6.4958306E+000
 8.6001470E+001, 6.6829401E+000
 8.7001048E+001, 6.0369519E+000
 8.8001721E+001, 6.0932781E+000
 8.9001275E+001, 6.0295564E+000
 9.0001338E+001, 5.7445314E+000
 9.1000719E+001, 6.4401632E+000
 9.2002651E+001, 6.2150144E+000
 9.3001035E+001, 6.8792727E+000
 9.4001735E+001, 7.1667341E+000
 9.5000751E+001, 6.7696597E+000
 9.6003258E+001, 6.7685661E+000
 9.7000513E+001, 6.7581318E+000
 9.8000931E+001, 6.6056203E+000
 9.9000119E+001, 6.9104144E+000
 1.0000185E+002, 6.7744626E+000
 1.0100022E+002, 6.8266529E+000
 1.0200507E+002, 6.9796515E+000
 1.0300306E+002, 7.1540835E+000
 1.0400301E+002, 7.1903919E+000
 1.0500054E+002, 7.2528342E+000
 1.0600457E+002, 7.2869033E+000
 1.0700130E+002, 7.4761917E+000
 1.0800173E+002, 7.3493543E+000
 1.0900053E+002, 7.3953547E+000
 1.1000034E+002, 7.3674407E+000
 1.1100434E+002, 7.4345864E+000
 1.1200424E+002, 7.5670684E+000
 1.1300219E+002, 7.6203251E+000
 1.1400571E+002, 7.6466777E+000
 1.1500016E+002, 7.6907128E+000
 1.1600531E+002, 7.7798431E+000
 1.1700571E+002, 7.8313587E+000
 1.1800523E+002, 7.8979427E+000
 1.1900455E+002, 7.9393741E+000
 1.2000481E+002, 7.9735750E+000
 1.2100391E+002, 7.9750000E+000
 1.2200999E+002, 7.9750000E+000
 1.2301110E+002, 7.9495816E+000
 1.2401164E+002, 7.9565271E+000
