s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0031514E+000, 1.9577436E-001
 2.0122058E+000, 9.0619613E-002
 3.0084148E+000, 9.1459588E-002
 4.0114962E+000, 9.6018053E-002
 5.0078639E+000, 8.6552859E-002
 6.0029480E+000, 8.5034810E-002
 7.0034155E+000, 1.0882995E-001
 8.0067098E+000, 1.1709980E-001
 9.0107705E+000, 1.0610048E-001
 1.0007016E+001, 1.1589438E-001
 1.1007648E+001, 1.1343198E-001
 1.2010151E+001, 1.1839875E-001
 1.3007062E+001, 1.1993261E-001
 1.4002410E+001, 1.1348667E-001
 1.5009713E+001, 1.2607527E-001
 1.6009267E+001, 1.2337459E-001
 1.7002404E+001, 1.2451973E-001
 1.8002711E+001, 1.2042011E-001
 1.9003936E+001, 1.1647689E-001
 2.0001806E+001, 1.1758909E-001
 2.1005722E+001, 1.1778836E-001
 2.2003796E+001, 1.2077894E-001
 2.3007083E+001, 1.1833333E-001
 2.4005588E+001, 1.1431146E-001
 2.5003358E+001, 1.2764945E-001
 2.6006360E+001, 1.3098656E-001
 2.7003680E+001, 1.3786220E-001
 2.8002226E+001, 1.4044812E-001
 2.9002572E+001, 1.4536861E-001
 3.0001178E+001, 1.3684494E-001
 3.1002111E+001, 1.1741450E-001
 3.2004304E+001, 1.1748350E-001
 3.3007575E+001, 1.3322021E-001
 3.4004805E+001, 1.3673416E-001
 3.5000118E+001, 1.3672216E-001
 3.6000086E+001, 1.0694159E-001
 3.7002365E+001, 1.3773159E-001
 3.8004779E+001, 1.3081395E-001
 3.9000790E+001, 1.4293407E-001
 4.0003599E+001, 1.4398940E-001
 4.1002073E+001, 3.1360286E-001
 4.2006721E+001, 5.2357997E-001
 4.3006120E+001, 3.7273812E-001
 4.4002904E+001, 4.2385128E-001
 4.5000107E+001, 5.7201760E-001
 4.6005832E+001, 6.2757319E-001
 4.7002234E+001, 6.5626811E-001
 4.8001340E+001, 7.0096921E-001
 4.9000098E+001, 7.2582461E-001
 5.0001933E+001, 7.1828393E-001
 5.1002152E+001, 8.0081046E-001
 5.2002988E+001, 8.0335684E-001
 5.3001053E+001, 8.5449151E-001
 5.4005115E+001, 8.7876078E-001
 5.5000716E+001, 9.3279538E-001
 5.6000919E+001, 9.6243791E-001
 5.7001475E+001, 9.9433142E-001
 5.8001031E+001, 1.0519215E+000
 5.9004595E+001, 1.1026919E+000
 6.0003900E+001, 1.1318165E+000
 6.1006514E+001, 1.1400748E+000
 6.2001729E+001, 1.1889676E+000
 6.3005847E+001, 1.1883050E+000
 6.4000102E+001, 1.2818210E+000
 6.5003548E+001, 1.3261727E+000
 6.6004864E+001, 1.3242304E+000
 6.7004471E+001, 1.3438406E+000
 6.8003224E+001, 1.3936065E+000
 6.9000518E+001, 1.4016575E+000
 7.0005596E+001, 1.4114568E+000
 7.1000862E+001, 1.5141320E+000
 7.2005929E+001, 1.5811750E+000
 7.3003644E+001, 1.5608548E+000
 7.4007226E+001, 1.5667923E+000
 7.5001819E+001, 1.6385156E+000
 7.6003732E+001, 1.6950285E+000
 7.7005191E+001, 1.7519894E+000
 7.8000127E+001, 1.7706698E+000
 7.9007273E+001, 1.7686505E+000
 8.0004951E+001, 1.8361159E+000
 8.1001015E+001, 1.8658880E+000
 8.2005277E+001, 1.8703343E+000
 8.3003986E+001, 1.9159053E+000
 8.4001574E+001, 1.9559929E+000
 8.5001542E+001, 1.9598377E+000
 8.6001092E+001, 2.0121497E+000
 8.7000632E+001, 2.0055072E+000
 8.8001949E+001, 2.0673668E+000
 8.9007367E+001, 2.0949482E+000
 9.0005612E+001, 2.1193324E+000
 9.1004369E+001, 2.1583216E+000
 9.2002551E+001, 2.1896609E+000
