s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0135755E+000, 1.0227453E-001
 2.0071701E+000, 1.3619243E-001
 3.0058911E+000, 1.8171923E-001
 4.0006340E+000, 2.5164565E-001
 5.0069700E+000, 2.0875162E-001
 6.0102431E+000, 1.2153580E-001
 7.0002710E+000, 1.1597222E-001
 8.0001253E+000, 9.2190489E-002
 9.0041317E+000, 9.6846941E-002
 1.0009123E+001, 9.0662651E-002
 1.1009760E+001, 1.2970804E-001
 1.2009295E+001, 2.9821429E-001
 1.3000403E+001, 3.6051984E-001
 1.4006847E+001, 4.1270023E-001
 1.5010105E+001, 3.9218655E-001
 1.6003802E+001, 3.5975832E-001
 1.7005466E+001, 3.2323489E-001
 1.8007261E+001, 2.7031291E-001
 1.9003656E+001, 3.2907501E-001
 2.0002058E+001, 3.3706403E-001
 2.1002749E+001, 2.0355893E-001
 2.2003218E+001, 5.0767327E-001
 2.3009560E+001, 3.0187117E-001
 2.4001818E+001, 7.5000000E-002
 2.5003305E+001, 2.6846563E-001
 2.6006516E+001, 6.4797628E-001
 2.7009606E+001, 6.0494546E-001
 2.8009051E+001, 6.2998652E-001
 2.9004327E+001, 5.9893885E-001
 3.0008478E+001, 5.6583041E-001
 3.1005672E+001, 5.0367959E-001
 3.2005147E+001, 4.1033040E-001
 3.3005785E+001, 4.6108268E-001
 3.4003771E+001, 6.4397823E-001
 3.5005817E+001, 7.1585185E-001
 3.6007332E+001, 6.8923976E-001
 3.7006390E+001, 6.3881052E-001
 3.8002012E+001, 4.9020206E-001
 3.9006691E+001, 6.4685760E-001
 4.0002633E+001, 6.9137493E-001
 4.1001079E+001, 2.2174668E-001
 4.2003389E+001, 3.5958895E-001
 4.3003317E+001, 6.4495488E-001
 4.4000696E+001, 8.3400064E-001
 4.5003771E+001, 9.6899860E-001
 4.6004173E+001, 1.0658308E+000
 4.7004981E+001, 9.8553785E-001
 4.8000362E+001, 1.1185156E+000
 4.9004763E+001, 1.5438064E+000
 5.0000572E+001, 1.4542512E+000
 5.1004096E+001, 1.4462991E+000
 5.2004259E+001, 1.3980597E+000
 5.3003761E+001, 1.2786743E+000
 5.4003634E+001, 1.5141724E+000
 5.5004128E+001, 1.5123601E+000
 5.6000491E+001, 1.7588374E+000
 5.7003243E+001, 1.0814007E+000
 5.8001868E+001, 1.9776061E+000
 5.9000615E+001, 1.4696859E+000
 6.0000766E+001, 8.3352277E-001
 6.1001503E+001, 4.6533172E-001
 6.2003873E+001, 1.1961455E+000
 6.3002961E+001, 7.0866557E-001
 6.4004455E+001, 7.8578518E-001
 6.5003603E+001, 6.3915874E-001
 6.6001054E+001, 1.0845777E+000
 6.7003320E+001, 5.9500852E-001
 6.8001183E+001, 9.6308521E-001
 6.9003299E+001, 1.0435186E+000
 7.0002243E+001, 1.8658802E+000
 7.1001457E+001, 1.2421722E+000
 7.2000098E+001, 2.0767812E+000
 7.3000645E+001, 2.4766570E+000
 7.4001064E+001, 1.9668872E+000
 7.5001963E+001, 2.1151171E+000
 7.6003801E+001, 1.0240632E+000
 7.7001963E+001, 1.7555652E+000
 7.8001493E+001, 1.1625423E+000
 7.9001872E+001, 1.3521188E+000
 8.0003212E+001, 1.6851177E+000
 8.1003451E+001, 1.9799329E+000
 8.2003490E+001, 2.5106722E+000
 8.3003815E+001, 2.5118986E+000
 8.4003215E+001, 2.5345153E+000
 8.5002414E+001, 2.6650674E+000
 8.6000083E+001, 2.7207684E+000
 8.7003314E+001, 2.7619824E+000
 8.8004171E+001, 2.8243729E+000
 8.9001602E+001, 2.8309012E+000
 9.0002568E+001, 2.8922504E+000
 9.1002312E+001, 2.9486108E+000
 9.2004566E+001, 3.0265020E+000
