s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0058991E+000, 1.6233804E-001
 2.0088782E+000, 8.3368949E-002
 3.0012574E+000, 3.1327546E-002
 4.0097571E+000, 2.5000000E-002
 5.0083695E+000, 2.5000000E-002
 6.0030271E+000, 3.2455268E-002
 7.0036170E+000, 6.5760870E-002
 8.0007678E+000, 2.5000000E-002
 9.0081799E+000, 2.9075796E-002
 1.0007297E+001, 2.5000000E-002
 1.1000705E+001, 2.5000000E-002
 1.2009103E+001, 2.5000000E-002
 1.3007604E+001, 3.5044005E-002
 1.4001557E+001, 3.2898104E-002
 1.5006425E+001, 2.5000000E-002
 1.6005954E+001, 2.5000000E-002
 1.7004137E+001, 2.7963014E-002
 1.8005885E+001, 7.0908449E-002
 1.9006284E+001, 6.9503024E-002
 2.0000737E+001, 2.5000000E-002
 2.1002110E+001, 4.6756420E-002
 2.2004055E+001, 9.7064037E-002
 2.3000093E+001, 7.5000000E-002
 2.4001551E+001, 1.2059771E-001
 2.5003296E+001, 1.6098143E-001
 2.6006216E+001, 1.2642439E-001
 2.7003136E+001, 1.7305487E-001
 2.8004055E+001, 1.7500000E-001
 2.9002453E+001, 2.8719687E-001
 3.0003614E+001, 3.5197468E-001
 3.1000103E+001, 2.2500000E-001
 3.2004699E+001, 7.5999983E-001
 3.3003353E+001, 9.0769955E-001
 3.4002279E+001, 5.0909249E-001
 3.5002814E+001, 9.0907243E-001
 3.6002505E+001, 9.0498993E-001
 3.7001245E+001, 1.0496276E+000
 3.8004399E+001, 1.1307912E+000
 3.9000990E+001, 6.6363652E-001
 4.0005045E+001, 1.3428531E+000
 4.1000356E+001, 9.7192813E-001
 4.2000926E+001, 1.3001379E+000
 4.3001195E+001, 1.2750393E+000
 4.4000937E+001, 1.7686538E+000
 4.5002981E+001, 1.8098528E+000
 4.6001954E+001, 1.7970878E+000
 4.7000478E+001, 1.9587258E+000
 4.8002462E+001, 1.5579188E+000
 4.9003489E+001, 1.7207723E+000
 5.0001988E+001, 1.7057346E+000
 5.1001000E+001, 1.7337551E+000
 5.2001850E+001, 1.9876243E+000
 5.3003501E+001, 1.8357778E+000
 5.4003745E+001, 1.6382426E+000
 5.5000533E+001, 1.5153804E+000
 5.6002354E+001, 2.8049322E+000
 5.7002269E+001, 1.8160548E+000
 5.8003292E+001, 2.0990106E+000
 5.9004092E+001, 2.2640939E+000
 6.0001421E+001, 2.4562923E+000
 6.1000503E+001, 2.3606388E+000
 6.2002433E+001, 2.3554355E+000
 6.3002536E+001, 2.5977095E+000
 6.4003111E+001, 2.7020526E+000
 6.5001948E+001, 2.7287898E+000
 6.6003319E+001, 2.6854783E+000
 6.7002566E+001, 2.8130075E+000
 6.8003817E+001, 2.8187154E+000
 6.9005145E+001, 2.8962753E+000
 7.0001204E+001, 2.9018521E+000
 7.1003472E+001, 2.9739550E+000
 7.2002065E+001, 3.0478464E+000
 7.3003071E+001, 3.0666864E+000
 7.4001998E+001, 3.2319331E+000
 7.5003746E+001, 3.2908381E+000
 7.6002884E+001, 3.4038942E+000
 7.7002759E+001, 3.3256049E+000
 7.8000218E+001, 3.4079158E+000
 7.9001993E+001, 3.5251078E+000
 8.0000512E+001, 3.5216334E+000
 8.1002665E+001, 3.5731449E+000
 8.2004642E+001, 3.6469561E+000
 8.3002217E+001, 3.8965604E+000
 8.4001368E+001, 3.8971955E+000
 8.5000342E+001, 3.8614151E+000
 8.6000730E+001, 4.6388711E+000
 8.7002613E+001, 4.6871428E+000
 8.8000052E+001, 4.2473146E+000
 8.9002574E+001, 4.5632509E+000
 9.0003926E+001, 4.3577121E+000
 9.1001287E+001, 4.8949244E+000
 9.2004021E+001, 4.7017620E+000
