s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0171210E+000, 3.8525792E-001
 2.0047602E+000, 2.5000000E-002
 3.0000917E+000, 2.5000000E-002
 4.0065841E+000, 2.5000000E-002
 5.0022153E+000, 2.5000000E-002
 6.0056237E+000, 2.5000000E-002
 7.0054323E+000, 2.5000000E-002
 8.0079460E+000, 2.5000000E-002
 9.0022943E+000, 2.5000000E-002
 1.0006743E+001, 2.5000000E-002
 1.1004599E+001, 2.5000000E-002
 1.2004332E+001, 2.5000000E-002
 1.3006064E+001, 2.5000000E-002
 1.4001802E+001, 2.5000000E-002
 1.5003218E+001, 2.5000000E-002
 1.6004317E+001, 4.1092749E-002
 1.7000821E+001, 6.5480731E-002
 1.8002140E+001, 7.1506038E-002
 1.9002239E+001, 7.4091147E-002
 2.0005296E+001, 5.5736896E-002
 2.1000905E+001, 4.6160649E-002
 2.2003050E+001, 3.8463053E-002
 2.3002961E+001, 6.3803597E-002
 2.4004155E+001, 7.9554569E-002
 2.5001544E+001, 3.4237327E-002
 2.6003054E+001, 2.8109433E-002
 2.7003791E+001, 2.8636096E-002
 2.8004543E+001, 2.5000000E-002
 2.9002340E+001, 5.4299040E-002
 3.0004481E+001, 2.5000000E-002
 3.1005088E+001, 4.8922813E-002
 3.2001379E+001, 2.5000000E-002
 3.3004492E+001, 7.3044303E-002
 3.4001559E+001, 7.9745256E-002
 3.5002634E+001, 1.0942139E-001
 3.6002643E+001, 9.0699242E-002
 3.7003919E+001, 1.0180089E-001
 3.8005074E+001, 1.7353740E-001
 3.9003262E+001, 1.2500000E-001
 4.0003882E+001, 1.7250416E-001
 4.1004820E+001, 1.7589399E-001
 4.2001338E+001, 1.6275855E-001
 4.3002958E+001, 1.7450030E-001
 4.4002747E+001, 2.0542609E-001
 4.5002474E+001, 2.2796474E-001
 4.6005231E+001, 2.3054848E-001
 4.7001094E+001, 2.3530656E-001
 4.8000869E+001, 2.0834302E-001
 4.9002255E+001, 2.3450116E-001
 5.0002035E+001, 2.4481425E-001
 5.1003450E+001, 2.6752310E-001
 5.2001463E+001, 2.7947333E-001
 5.3002849E+001, 3.2263392E-001
 5.4003261E+001, 2.8879202E-001
 5.5004465E+001, 2.8047318E-001
 5.6003386E+001, 3.6838066E-001
 5.7002247E+001, 3.6815234E-001
 5.8004421E+001, 3.6002614E-001
 5.9003034E+001, 3.4103312E-001
 6.0002993E+001, 3.8925396E-001
 6.1003923E+001, 4.0388111E-001
 6.2000396E+001, 3.9059906E-001
 6.3000179E+001, 3.8641271E-001
 6.4001448E+001, 4.2690658E-001
 6.5004398E+001, 4.3714240E-001
 6.6000524E+001, 4.3377044E-001
 6.7003453E+001, 4.2603690E-001
 6.8005591E+001, 4.4087086E-001
 6.9003545E+001, 4.7013125E-001
 7.0005439E+001, 4.9405569E-001
 7.1003387E+001, 4.7500000E-001
 7.2000500E+001, 4.7500000E-001
 7.3004614E+001, 5.0843074E-001
 7.4002371E+001, 5.3311313E-001
 7.5005419E+001, 5.2500000E-001
 7.6003386E+001, 5.2500000E-001
 7.7004760E+001, 5.3352261E-001
 7.8000524E+001, 5.7156901E-001
 7.9003038E+001, 5.8629635E-001
 8.0004116E+001, 5.7500000E-001
 8.1000206E+001, 5.7500000E-001
 8.2001028E+001, 5.8004199E-001
 8.3001020E+001, 5.9752871E-001
 8.4002766E+001, 6.3875611E-001
 8.5005032E+001, 6.2500000E-001
 8.6003501E+001, 6.3794022E-001
 8.7004842E+001, 6.3061005E-001
 8.8002522E+001, 6.6171125E-001
 8.9002891E+001, 6.7500000E-001
 9.0000503E+001, 6.7500000E-001
 9.1001785E+001, 7.0161340E-001
 9.2000519E+001, 6.7969612E-001
