s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0139522E+000, 1.0617874E-001
 2.0165415E+000, 5.5855400E-002
 3.0129278E+000, 8.4615069E-002
 4.0180648E+000, 1.0222030E-001
 5.0061924E+000, 1.4752340E-001
 6.0065800E+000, 1.7606179E-001
 7.0111579E+000, 1.5535714E-001
 8.0157358E+000, 1.9732143E-001
 9.0003569E+000, 2.4737351E-001
 1.0011936E+001, 2.2491138E-001
 1.1015528E+001, 2.9667756E-001
 1.2007642E+001, 2.8166667E-001
 1.3016290E+001, 2.3811475E-001
 1.4008403E+001, 1.7916667E-001
 1.5000517E+001, 2.2250000E-001
 1.6011139E+001, 2.0406812E-001
 1.7004550E+001, 1.9825038E-001
 1.8014166E+001, 1.6953125E-001
 1.9009720E+001, 1.9881157E-001
 2.0009718E+001, 2.2446256E-001
 2.1007616E+001, 2.6444044E-001
 2.2002195E+001, 2.5620464E-001
 2.3005856E+001, 2.1025281E-001
 2.4008708E+001, 2.7552833E-001
 2.5000814E+001, 2.7599928E-001
 2.6006259E+001, 2.9115811E-001
 2.7001105E+001, 3.1375840E-001
 2.8011561E+001, 1.2867647E-001
 2.9007946E+001, 7.5000000E-002
 3.0006938E+001, 8.2142857E-002
 3.1007772E+001, 8.3081613E-002
 3.2000239E+001, 1.0000000E-001
 3.3010664E+001, 1.6072973E-001
 3.4009711E+001, 2.6131713E-001
 3.5007255E+001, 2.9261936E-001
 3.6004632E+001, 3.4031446E-001
 3.7006435E+001, 3.7043508E-001
 3.8002627E+001, 3.6016526E-001
 3.9002347E+001, 3.4487886E-001
 4.0001688E+001, 3.9283781E-001
 4.1004010E+001, 3.9527857E-001
 4.2000296E+001, 3.6540918E-001
 4.3001756E+001, 4.6384292E-001
 4.4000679E+001, 4.8211878E-001
 4.5005665E+001, 4.7692895E-001
 4.6006622E+001, 4.1911854E-001
 4.7001036E+001, 2.4244364E-001
 4.8000845E+001, 3.1395833E-001
 4.9000079E+001, 2.7891351E-001
 5.0001869E+001, 1.9839906E-001
 5.1004459E+001, 5.2065075E-002
 5.2001024E+001, 6.2044814E-002
 5.3001047E+001, 2.7976799E-002
 5.4004053E+001, 4.1964670E-001
 5.5002396E+001, 6.2841781E-001
 5.6003097E+001, 4.8223357E-001
 5.7001090E+001, 6.1382277E-001
 5.8000079E+001, 1.0439199E+000
 5.9002072E+001, 8.4513949E-001
 6.0004611E+001, 2.1609981E-001
 6.1002304E+001, 4.8491033E-001
 6.2003954E+001, 1.0565586E+000
 6.3002283E+001, 1.0511054E+000
 6.4001688E+001, 1.0856371E+000
 6.5004184E+001, 1.0369682E+000
 6.6002256E+001, 4.9092683E-001
 6.7002906E+001, 2.7512077E-001
 6.8000239E+001, 9.5138316E-001
 6.9000767E+001, 1.1533569E+000
 7.0001903E+001, 1.2417461E+000
 7.1002736E+001, 1.1368131E+000
 7.2003380E+001, 8.5468359E-001
 7.3000149E+001, 1.2025242E+000
 7.4002375E+001, 1.4318018E+000
 7.5003901E+001, 7.6579045E-001
 7.6000527E+001, 8.9218109E-001
 7.7000030E+001, 1.7177261E+000
 7.8000846E+001, 1.5825259E+000
 7.9002371E+001, 1.7507809E+000
 8.0004179E+001, 1.6682003E+000
 8.1001206E+001, 1.4092610E+000
 8.2003981E+001, 1.1311628E+000
 8.3000382E+001, 1.7294216E+000
 8.4001737E+001, 1.8701035E+000
 8.5000958E+001, 1.7517758E+000
 8.6001714E+001, 1.5020097E+000
 8.7000601E+001, 1.2445804E+000
 8.8001757E+001, 1.4604677E+000
 8.9003304E+001, 1.8817637E+000
 9.0001984E+001, 1.7964357E+000
 9.1002451E+001, 1.4874197E+000
 9.2001291E+001, 1.0916827E+000
