s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0139570E+000, 7.9302632E-002
 2.0140330E+000, 3.2561229E-002
 3.0076163E+000, 6.4125381E-002
 4.0079841E+000, 7.0714286E-002
 5.0083519E+000, 1.1142857E-001
 6.0090084E+000, 1.0880825E-001
 7.0045189E+000, 1.4280822E-001
 8.0000294E+000, 1.4349315E-001
 9.0091770E+000, 1.2162162E-001
 1.0004688E+001, 1.8869863E-001
 1.1013835E+001, 1.9932432E-001
 1.2007212E+001, 2.2818665E-001
 1.3003713E+001, 2.9967784E-001
 1.4009031E+001, 2.5906248E-001
 1.5008955E+001, 3.0232552E-001
 1.6007023E+001, 2.8485037E-001
 1.7006335E+001, 2.5719178E-001
 1.8005647E+001, 3.3458904E-001
 1.9004959E+001, 3.5924658E-001
 2.0005171E+001, 2.8402367E-001
 2.1004791E+001, 2.1300000E-001
 2.2004411E+001, 2.9500000E-001
 2.3004030E+001, 1.8233333E-001
 2.4003650E+001, 1.4833333E-001
 2.5003270E+001, 7.3000000E-002
 2.6002889E+001, 3.0333333E-002
 2.7002509E+001, 3.5666667E-002
 2.8007032E+001, 2.5000000E-002
 2.9010662E+001, 2.5000000E-002
 3.0008862E+001, 2.5000000E-002
 3.1007062E+001, 2.5000000E-002
 3.2005262E+001, 2.5000000E-002
 3.3003462E+001, 2.5000000E-002
 3.4001662E+001, 2.5000000E-002
 3.5013351E+001, 2.5000000E-002
 3.6011551E+001, 2.5000000E-002
 3.7009750E+001, 3.6486486E-002
 3.8007950E+001, 6.6891892E-002
 3.9006150E+001, 6.6216216E-002
 4.0004350E+001, 5.8108108E-002
 4.1002229E+001, 2.7703572E-002
 4.2011045E+001, 2.5000000E-002
 4.3007222E+001, 2.5000000E-002
 4.4001148E+001, 2.5000000E-002
 4.5007872E+001, 2.5000000E-002
 4.6000373E+001, 2.5000000E-002
 4.7011618E+001, 2.5000000E-002
 4.8007870E+001, 2.5000000E-002
 4.9011093E+001, 2.5000000E-002
 5.0008444E+001, 2.5000000E-002
 5.1000082E+001, 2.5000000E-002
 5.2011664E+001, 2.5000000E-002
 5.3001938E+001, 2.5000000E-002
 5.4004001E+001, 2.5000000E-002
 5.5011554E+001, 3.9931823E-002
 5.6009772E+001, 4.5868168E-002
 5.7002575E+001, 2.5000000E-002
 5.8001539E+001, 2.5000000E-002
 5.9000640E+001, 3.9807502E-002
 6.0000768E+001, 2.7711922E-002
 6.1002759E+001, 2.5000000E-002
 6.2000987E+001, 2.5000000E-002
 6.3006462E+001, 2.5000000E-002
 6.4010072E+001, 2.5000000E-002
 6.5002336E+001, 2.5000000E-002
 6.6003601E+001, 2.5000000E-002
 6.7004867E+001, 7.1875000E-002
 6.8006132E+001, 6.3020833E-002
 6.9002692E+001, 2.5000000E-002
 7.0003520E+001, 2.5000000E-002
 7.1003129E+001, 2.5000000E-002
 7.2000871E+001, 1.0939487E-001
 7.3000489E+001, 2.5000000E-002
 7.4002439E+001, 1.9803829E-001
 7.5001556E+001, 6.2622096E-001
 7.6006553E+001, 1.0136372E-001
 7.7003349E+001, 2.6912620E-001
 7.8003901E+001, 2.5000000E-002
 7.9007878E+001, 2.5000000E-002
 8.0007461E+001, 2.5000000E-002
 8.1001283E+001, 2.5000000E-002
 8.2007166E+001, 1.8332816E-001
 8.3000254E+001, 7.3181292E-001
 8.4004476E+001, 8.9155518E-001
 8.5001969E+001, 8.9488804E-001
 8.6003175E+001, 1.0262881E+000
 8.7006364E+001, 7.7325107E-001
 8.8002044E+001, 1.1186039E+000
 8.9004243E+001, 1.0937267E+000
 9.0001822E+001, 1.1388878E+000
 9.1000056E+001, 1.1920700E+000
 9.2004862E+001, 1.2725383E+000
