s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0013060E+000, 7.3373744E-002
 2.0014868E+000, 1.0070264E-001
 3.0044163E+000, 9.3578069E-002
 4.0045953E+000, 1.0537878E-001
 5.0007272E+000, 1.3540590E-001
 6.0023043E+000, 1.4992576E-001
 7.0084131E+000, 1.5780337E-001
 8.0102296E+000, 1.8543657E-001
 9.0031728E+000, 1.7973684E-001
 1.0007013E+001, 1.3796571E-001
 1.1004917E+001, 1.5389419E-001
 1.2001145E+001, 1.4881579E-001
 1.3007350E+001, 1.3062505E-001
 1.4007517E+001, 2.6403164E-001
 1.5004022E+001, 2.9834135E-001
 1.6000417E+001, 3.6033102E-001
 1.7000915E+001, 3.0702367E-001
 1.8003222E+001, 3.8546575E-001
 1.9003574E+001, 4.5949001E-001
 2.0004347E+001, 4.0509259E-001
 2.1005120E+001, 4.4490741E-001
 2.2001962E+001, 5.5444169E-001
 2.3006546E+001, 4.6061499E-001
 2.4001473E+001, 9.9529487E-002
 2.5004407E+001, 7.5000000E-002
 2.6006862E+001, 8.2370184E-002
 2.7009008E+001, 4.4658122E-001
 2.8000947E+001, 4.3021784E-001
 2.9005551E+001, 4.3543338E-001
 3.0007283E+001, 5.6589988E-001
 3.1003814E+001, 6.5146555E-001
 3.2005386E+001, 6.7413378E-001
 3.3001575E+001, 4.5436087E-001
 3.4002884E+001, 5.5217250E-001
 3.5002152E+001, 6.9365687E-001
 3.6003594E+001, 6.2698439E-001
 3.7005693E+001, 7.4351651E-001
 3.8005509E+001, 6.7432113E-001
 3.9004282E+001, 6.9026898E-001
 4.0004553E+001, 6.2624904E-001
 4.1006055E+001, 6.5371837E-001
 4.2005142E+001, 6.5917235E-001
 4.3002411E+001, 1.0338198E+000
 4.4004441E+001, 8.4726237E-001
 4.5001858E+001, 7.3552664E-001
 4.6005213E+001, 6.8601142E-001
 4.7000336E+001, 6.2611571E-001
 4.8000812E+001, 9.1388634E-001
 4.9003972E+001, 1.4340611E+000
 5.0004132E+001, 1.6642444E+000
 5.1003835E+001, 1.1191474E+000
 5.2003721E+001, 1.5103622E+000
 5.3002907E+001, 8.3214708E-001
 5.4001136E+001, 1.5494498E+000
 5.5002424E+001, 7.2927441E-001
 5.6000351E+001, 3.0193006E-001
 5.7003847E+001, 9.6095368E-001
 5.8003309E+001, 9.5599811E-001
 5.9004502E+001, 7.9315251E-001
 6.0003884E+001, 1.7148470E+000
 6.1001714E+001, 2.1745702E+000
 6.2000038E+001, 2.2915109E+000
 6.3003197E+001, 2.0567763E+000
 6.4001004E+001, 2.4462249E+000
 6.5003868E+001, 2.6433616E+000
 6.6003258E+001, 2.2551884E+000
 6.7000122E+001, 2.6491019E+000
 6.8001075E+001, 9.9182572E-001
 6.9000732E+001, 7.5741123E-001
 7.0000655E+001, 2.2986737E+000
 7.1002103E+001, 1.3087666E+000
 7.2000725E+001, 1.7309519E+000
 7.3001847E+001, 1.3635000E+000
 7.4000992E+001, 1.0656139E+000
 7.5000930E+001, 1.8013374E+000
 7.6001529E+001, 2.3650964E+000
 7.7001847E+001, 3.0026967E+000
 7.8002883E+001, 2.7469715E+000
 7.9002153E+001, 3.2541836E+000
 8.0003156E+001, 2.5386697E+000
 8.1003574E+001, 2.7682185E+000
 8.2001096E+001, 2.8044848E+000
 8.3000655E+001, 2.4043075E+000
 8.4004092E+001, 2.8917801E+000
 8.5000635E+001, 3.3289889E+000
 8.6003305E+001, 3.5576265E+000
 8.7003210E+001, 3.4386826E+000
 8.8000657E+001, 3.5671591E+000
 8.9003573E+001, 3.6703951E+000
 9.0000645E+001, 3.7380510E+000
 9.1002405E+001, 3.8016243E+000
 9.2001175E+001, 3.8662638E+000
