s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0222974E+000, 2.0136168E-001
 2.0081381E+000, 6.1452487E-002
 3.0005388E+000, 2.0075650E-001
 4.0085281E+000, 9.6067267E-002
 5.0068415E+000, 1.0096154E-001
 6.0051501E+000, 3.2201737E-002
 7.0115964E+000, 2.5000000E-002
 8.0092494E+000, 2.5000000E-002
 9.0090928E+000, 2.5000000E-002
 1.0009381E+001, 4.5866861E-002
 1.1003291E+001, 8.1489436E-002
 1.2003259E+001, 2.5000000E-002
 1.3008647E+001, 2.5000000E-002
 1.4006313E+001, 2.5000000E-002
 1.5008770E+001, 2.5000000E-002
 1.6001235E+001, 3.3034244E-002
 1.7007438E+001, 2.5000000E-002
 1.8008656E+001, 2.5000000E-002
 1.9006602E+001, 2.5000000E-002
 2.0000808E+001, 3.6823509E-002
 2.1005181E+001, 6.9159801E-002
 2.2003822E+001, 8.0919316E-002
 2.3001103E+001, 8.3293804E-002
 2.4006653E+001, 1.0091452E-001
 2.5001389E+001, 1.2500000E-001
 2.6005645E+001, 1.3759920E-001
 2.7005154E+001, 1.9885917E-001
 2.8004957E+001, 1.8970211E-001
 2.9003749E+001, 2.1682976E-001
 3.0003302E+001, 2.2500000E-001
 3.1003121E+001, 2.4732322E-001
 3.2002867E+001, 4.4733049E-001
 3.3002382E+001, 3.0229454E-001
 3.4001276E+001, 2.7620003E-001
 3.5001689E+001, 5.6843804E-001
 3.6000837E+001, 3.3121694E-001
 3.7001298E+001, 8.7019642E-001
 3.8003459E+001, 5.0697186E-001
 3.9002087E+001, 7.5696621E-001
 4.0004758E+001, 4.6403578E-001
 4.1003182E+001, 7.7259580E-001
 4.2000865E+001, 6.6477032E-001
 4.3001114E+001, 7.3655183E-001
 4.4004182E+001, 7.2963531E-001
 4.5002173E+001, 1.0693907E+000
 4.6004218E+001, 9.2888401E-001
 4.7002562E+001, 1.1920375E+000
 4.8004172E+001, 8.5889542E-001
 4.9000280E+001, 1.1962978E+000
 5.0001730E+001, 1.0912506E+000
 5.1000501E+001, 9.2978297E-001
 5.2003108E+001, 9.6208379E-001
 5.3002237E+001, 1.0075588E+000
 5.4003201E+001, 1.1434003E+000
 5.5000312E+001, 9.6367173E-001
 5.6000677E+001, 1.4879327E+000
 5.7004068E+001, 1.7888212E+000
 5.8004294E+001, 1.5659132E+000
 5.9002199E+001, 1.6379881E+000
 6.0000215E+001, 1.5512245E+000
 6.1003182E+001, 1.7197554E+000
 6.2003182E+001, 1.6048920E+000
 6.3002896E+001, 1.6277042E+000
 6.4003164E+001, 2.2512239E+000
 6.5002730E+001, 2.0909380E+000
 6.6001662E+001, 2.2116863E+000
 6.7001430E+001, 1.9447718E+000
 6.8000368E+001, 2.1215017E+000
 6.9001128E+001, 2.2720417E+000
 7.0000488E+001, 2.3165114E+000
 7.1003400E+001, 2.2646747E+000
 7.2004457E+001, 2.4289588E+000
 7.3002486E+001, 2.4710247E+000
 7.4000866E+001, 2.5496661E+000
 7.5004073E+001, 2.5741325E+000
 7.6004718E+001, 2.6730002E+000
 7.7001788E+001, 2.7252451E+000
 7.8002484E+001, 2.7393404E+000
 7.9000606E+001, 2.8117699E+000
 8.0001621E+001, 2.8421248E+000
 8.1003333E+001, 2.8660983E+000
 8.2000078E+001, 2.9885857E+000
 8.3005090E+001, 3.0499567E+000
 8.4002486E+001, 3.1258966E+000
 8.5002510E+001, 3.2004303E+000
 8.6004281E+001, 3.1968991E+000
 8.7003515E+001, 3.2170375E+000
 8.8002729E+001, 3.3373344E+000
 8.9004127E+001, 3.4548437E+000
 9.0004922E+001, 3.5453849E+000
 9.1001195E+001, 3.6409201E+000
 9.2001326E+001, 3.7108168E+000
