s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0091205E+000, 5.2507619E-002
 2.0079130E+000, 2.9312431E-002
 3.0071646E+000, 6.1516854E-002
 4.0000173E+000, 9.1839626E-002
 5.0006737E+000, 1.4068275E-001
 6.0011180E+000, 1.2828988E-001
 7.0057126E+000, 1.5578107E-001
 8.0055672E+000, 1.7291762E-001
 9.0002780E+000, 1.7386364E-001
 1.0006292E+001, 1.8511236E-001
 1.1001003E+001, 1.0454545E-001
 1.2007017E+001, 1.1938202E-001
 1.3001728E+001, 1.1704545E-001
 1.4007743E+001, 1.2837079E-001
 1.5002453E+001, 1.4261364E-001
 1.6008468E+001, 1.1376404E-001
 1.7003178E+001, 1.1250000E-001
 1.8009193E+001, 1.0926966E-001
 1.9006258E+001, 1.2931482E-001
 2.0005614E+001, 1.0789732E-001
 2.1007319E+001, 9.6494845E-002
 2.2001199E+001, 3.7941156E-002
 2.3011085E+001, 3.1666667E-002
 2.4009749E+001, 4.1853933E-002
 2.5008413E+001, 4.6348315E-002
 2.6000965E+001, 1.6827212E-001
 2.7006515E+001, 2.9887899E-001
 2.8007934E+001, 2.8527337E-002
 2.9003277E+001, 2.5000000E-002
 3.0007699E+001, 2.5000000E-002
 3.1008276E+001, 2.5000000E-002
 3.2001439E+001, 2.5000000E-002
 3.3008219E+001, 2.5000000E-002
 3.4005317E+001, 2.6691048E-001
 3.5004620E+001, 4.2733320E-001
 3.6005565E+001, 3.5104372E-001
 3.7003890E+001, 4.1786299E-001
 3.8007649E+001, 5.7916667E-002
 3.9005701E+001, 2.5000000E-002
 4.0000574E+001, 2.5000000E-002
 4.1004182E+001, 6.7028593E-002
 4.2006529E+001, 2.5000000E-002
 4.3002116E+001, 5.3936202E-002
 4.4001417E+001, 1.1584333E-001
 4.5000509E+001, 5.2962185E-001
 4.6001223E+001, 5.3043254E-001
 4.7006991E+001, 3.2580000E-001
 4.8003899E+001, 2.5000000E-002
 4.9005790E+001, 2.0912698E-001
 5.0007681E+001, 1.1071429E-001
 5.1000641E+001, 2.5000000E-002
 5.2000431E+001, 2.5000000E-002
 5.3006949E+001, 2.5000000E-002
 5.4004228E+001, 2.5381901E-001
 5.5003614E+001, 2.3974332E-001
 5.6003465E+001, 3.3453993E-001
 5.7002836E+001, 1.5682979E-001
 5.8005378E+001, 1.3566561E-001
 5.9004528E+001, 4.9863514E-001
 6.0000666E+001, 5.6402180E-001
 6.1001155E+001, 5.9318654E-001
 6.2000872E+001, 7.0952718E-001
 6.3003467E+001, 5.9430465E-001
 6.4005060E+001, 6.4074821E-001
 6.5002684E+001, 7.9467968E-001
 6.6000811E+001, 9.7011186E-001
 6.7001411E+001, 3.4783089E-001
 6.8005783E+001, 4.9871263E-001
 6.9002663E+001, 5.2470152E-001
 7.0003099E+001, 6.1738860E-001
 7.1001614E+001, 8.8411573E-001
 7.2005533E+001, 1.0473795E+000
 7.3000852E+001, 1.4068598E+000
 7.4000614E+001, 1.2074004E+000
 7.5003730E+001, 9.6598042E-001
 7.6004584E+001, 1.0645247E+000
 7.7004830E+001, 1.0415488E+000
 7.8002096E+001, 1.0153951E+000
 7.9000680E+001, 1.9807215E+000
 8.0001266E+001, 2.2658994E+000
 8.1000974E+001, 2.2536548E+000
 8.2005127E+001, 2.1532417E+000
 8.3000284E+001, 1.1190903E+000
 8.4003865E+001, 5.8419357E-001
 8.5004397E+001, 1.9929087E-001
 8.6004706E+001, 1.2500000E-001
 8.7002598E+001, 1.9775758E+000
 8.8001123E+001, 2.0344721E+000
 8.9003380E+001, 1.9548219E+000
 9.0000601E+001, 2.2726296E+000
 9.1004177E+001, 2.3752601E+000
 9.2001688E+001, 2.3347142E+000
