s,m
Time,"x"
 0.0000000E+000, 2.5000000E-002
 1.0141643E+000, 3.8630824E-001
 2.0039878E+000, 4.7194244E-002
 3.0123794E+000, 6.3359088E-002
 4.0042138E+000, 6.1969116E-002
 5.0087695E+000, 8.2500603E-002
 6.0060949E+000, 3.3820771E-002
 7.0100546E+000, 3.5214764E-002
 8.0100437E+000, 6.1206324E-002
 9.0064875E+000, 2.7536389E-002
 1.0005464E+001, 6.4892605E-002
 1.1007195E+001, 2.8216013E-002
 1.2000508E+001, 2.9013304E-002
 1.3007156E+001, 2.5000000E-002
 1.4007356E+001, 2.5000000E-002
 1.5006593E+001, 2.5000000E-002
 1.6001490E+001, 3.4059488E-002
 1.7004630E+001, 2.5000000E-002
 1.8003077E+001, 2.5000000E-002
 1.9000600E+001, 3.7372411E-002
 2.0006491E+001, 3.0200323E-002
 2.1002374E+001, 2.5000000E-002
 2.2002451E+001, 3.9589963E-002
 2.3001784E+001, 6.5401925E-002
 2.4006095E+001, 6.4365930E-002
 2.5000560E+001, 6.8455384E-002
 2.6000793E+001, 6.9236068E-002
 2.7005606E+001, 9.6685120E-002
 2.8002999E+001, 1.2500000E-001
 2.9006016E+001, 1.2500000E-001
 3.0006144E+001, 1.2500000E-001
 3.1005493E+001, 1.2028989E-001
 3.2004809E+001, 1.0091297E-001
 3.3000578E+001, 9.3265509E-002
 3.4001952E+001, 7.5400265E-002
 3.5005042E+001, 6.8085693E-002
 3.6005735E+001, 8.8751163E-002
 3.7004778E+001, 9.6262872E-002
 3.8005246E+001, 1.6551052E-001
 3.9005369E+001, 1.7500000E-001
 4.0004901E+001, 1.6793800E-001
 4.1004239E+001, 1.7500000E-001
 4.2003841E+001, 1.5741096E-001
 4.3004190E+001, 1.1530652E-001
 4.4001928E+001, 4.9158996E-002
 4.5002194E+001, 7.9472014E-002
 4.6000807E+001, 7.2828706E-002
 4.7002903E+001, 6.7996584E-002
 4.8000831E+001, 8.4223873E-002
 4.9003725E+001, 8.9756656E-002
 5.0001462E+001, 2.0976421E-001
 5.1005072E+001, 1.4289996E-001
 5.2002590E+001, 6.1511984E-002
 5.3001635E+001, 1.2244512E-001
 5.4005596E+001, 1.5686542E-001
 5.5000828E+001, 1.5985582E-001
 5.6001134E+001, 2.1849939E-001
 5.7001689E+001, 2.6237192E-001
 5.8000586E+001, 1.8745811E-001
 5.9002836E+001, 9.9364424E-002
 6.0001929E+001, 4.5365353E-002
 6.1004390E+001, 2.7946516E-002
 6.2002180E+001, 4.4350985E-002
 6.3003300E+001, 9.2032013E-002
 6.4002292E+001, 7.5212246E-002
 6.5002351E+001, 5.9704044E-002
 6.6004845E+001, 2.5000000E-002
 6.7003201E+001, 2.7130293E-002
 6.8001543E+001, 3.2456131E-002
 6.9001143E+001, 2.9352699E-002
 7.0002390E+001, 4.8346218E-002
 7.1000983E+001, 2.5000000E-002
 7.2004051E+001, 9.4805473E-002
 7.3004350E+001, 3.2606238E-002
 7.4002459E+001, 7.5000000E-002
 7.5002724E+001, 7.5000000E-002
 7.6004712E+001, 7.5000000E-002
 7.7003786E+001, 7.5000000E-002
 7.8003917E+001, 7.5000000E-002
 7.9003185E+001, 7.5000000E-002
 8.0000850E+001, 1.1159483E-001
 8.1002253E+001, 7.5000000E-002
 8.2002092E+001, 7.5000000E-002
 8.3002518E+001, 7.5000000E-002
 8.4001276E+001, 9.3361890E-002
 8.5001582E+001, 1.2500000E-001
 8.6003068E+001, 1.2500000E-001
 8.7001164E+001, 1.2812956E-001
 8.8003990E+001, 1.9478732E-001
 8.9002238E+001, 1.3146811E-001
 9.0004969E+001, 1.2500000E-001
 9.1004367E+001, 1.4126406E-001
 9.2002407E+001, 1.7500000E-001
